"","unid","opt_score"
"204",26905,NA
"205",83372,10
"206",64115,NA
"207",20345,8
"208",20345,8
"209",20345,8
"210",68485,3
"211",68485,4
"212",68485,2
"213",68485,5
"214",68485,NA
"215",46458,6
"216",46458,NA
"217",47927,1
"218",47927,1
"219",47927,NA
"220",47927,NA
"221",50342,3
"222",50342,NA
"223",36566,NA
"224",87145,5
"225",80844,NA
"226",17375,NA
"227",31975,NA
"228",91430,6
"229",91430,9
"230",6607,4
"231",43108,NA
"232",13500,9
"233",7068,12
"234",7068,9
"235",73083,5
"236",73083,9
"237",78203,NA
"238",100696,6
"239",100696,3
"240",24013,3
"241",92841,10
"242",92841,7
"243",50843,NA
"244",50843,NA
"245",12367,2
"246",12367,8
"247",71611,9
"248",27258,NA
"249",14150,1
"250",27324,4
"251",26995,2
"252",6898,NA
"253",6898,NA
"254",13103,NA
"255",13103,NA
"256",27908,6
"257",27908,5
"258",83598,5
"259",83598,5
"260",83598,NA
"261",51374,9
"262",51374,7
"263",51374,NA
"264",60970,3
"265",60970,5
"266",61302,10
"267",61302,9
"268",61302,8
"269",98422,6
"270",36391,9
"271",36391,NA
"272",41317,10
"273",67739,NA
"274",50854,NA
"275",62923,8
"276",62923,2
"277",62923,4
"278",44598,1
"279",68787,NA
"280",68787,NA
"281",68787,NA
"282",99415,NA
"283",78159,7
"284",91300,NA
"285",91300,NA
"286",91300,NA
"287",37501,5
"288",37501,7
"289",84494,NA
"290",62611,9
"291",96152,2
"292",74847,6
"293",102264,NA
"294",24397,12
"295",24397,NA
"296",4842,-2
"297",4842,-1
"298",46059,10
"299",46059,9
"300",10293,-2
"301",10293,1
"302",10293,0
"303",50027,4
"304",85723,NA
"305",87675,6
"306",5503,8
"307",52498,NA
"308",68822,11
"309",52043,7
"310",52043,NA
"311",62134,2
"312",38827,NA
"313",71322,NA
"314",21764,10
"315",16239,NA
"316",60598,8
"317",60598,NA
"318",68146,NA
"319",68146,NA
"320",15669,4
"321",15669,5
"322",65176,5
"323",33704,5
"324",79683,4
"325",79683,5
"326",28337,7
"327",57891,NA
"328",14644,NA
"329",10820,3
"330",63696,5
"331",63696,6
"332",2609,NA
"333",54421,5
"334",54421,NA
"335",56669,0
"336",40130,NA
"337",3894,NA
"338",52687,4
"339",52687,NA
"340",25360,NA
"341",93080,6
"342",53483,NA
"343",66329,NA
"344",19769,9
"345",19769,8
"346",19769,10
"347",19769,NA
"348",19769,8
"349",23484,NA
"350",40375,NA
"351",40375,NA
"352",40375,NA
"353",45670,NA
"354",8010,9
"355",8010,11
"356",8010,NA
"357",76952,6
"358",76952,NA
"359",102272,NA
"360",91042,NA
"361",79220,4
"362",79220,0
"363",79220,2
"364",79220,7
"365",79220,5
"366",79220,1
"367",91421,NA
"368",52623,NA
"369",70657,6
"370",24817,NA
"371",31728,NA
"372",3270,NA
"373",54101,8
"374",61049,NA
"375",62001,NA
"376",62001,NA
"377",62001,NA
"378",62001,NA
"379",39260,NA
"380",36705,NA
"381",54691,NA
"382",87775,2
"383",87775,6
"384",77849,10
"385",60757,-1
"386",88886,NA
"387",57982,5
"388",45013,NA
"389",29502,NA
"390",98874,8
"391",67719,2
"392",61413,NA
"393",3232,NA
"394",99094,NA
"395",18656,-1
"396",47802,8
"397",47802,NA
"398",47802,6
"399",81863,8
"400",55159,10
"401",55159,NA
"402",58439,NA
"403",62273,5
"404",62273,NA
"405",62273,NA
"406",7228,4
"407",7228,5
"408",84771,7
"409",21494,6
"410",67347,-2
"411",67347,NA
"412",96924,6
"413",31905,0
"414",31905,NA
"415",33368,5
"416",33368,1
"417",33368,4
"418",33368,3
"419",5800,9
"420",5800,10
"421",5800,9
"422",5800,NA
"423",35738,5
"424",96076,2
"425",7631,2
"426",7631,6
"427",7631,10
"428",37246,5
"429",63950,7
"430",63950,4
"431",73199,NA
"432",12251,NA
"433",78899,NA
"434",6515,8
"435",6621,NA
"436",6621,NA
"437",6621,NA
"438",6621,NA
"439",6621,NA
"440",6621,NA
"441",65888,NA
"442",65888,NA
"443",65888,NA
"444",22518,NA
"445",64662,2
"446",64662,3
"447",64662,6
"448",64662,4
"449",64662,4
"450",64662,4
"451",801,NA
"452",35463,0
"453",35463,NA
"454",52011,NA
"455",52011,NA
"456",60790,NA
"457",6475,6
"458",77813,3
"459",65593,NA
"460",48767,NA
"461",54766,7
"462",54766,5
"463",60069,7
"464",37837,9
"465",19694,NA
"466",56037,NA
"467",4726,NA
"468",33472,NA
"469",14690,2
"470",89275,NA
"471",3705,2
"472",3705,NA
"473",3705,NA
"474",19005,3
"475",19005,4
"476",45127,NA
"477",1956,NA
"478",10928,NA
"479",10928,NA
"480",10928,NA
"481",10928,NA
"482",75095,3
"483",99633,NA
"484",17337,4
"485",17337,NA
"486",17337,NA
"487",53893,2
"488",53893,NA
"489",84260,NA
"490",84260,NA
"491",37333,NA
"492",94331,5
"493",93084,NA
"494",12821,6
"495",12821,7
"496",90236,NA
"497",90236,NA
"498",90236,NA
"499",28931,9
"500",24481,NA
"501",91115,NA
"502",51747,9
"503",26134,-1
"504",95538,9
"505",95538,5
"506",52641,NA
"507",44266,NA
"508",78752,6
"509",40863,NA
"510",38329,3
"511",38329,2
"512",38329,NA
"513",12359,-2
"514",12359,NA
"515",77105,10
"516",42262,NA
"517",2504,NA
"518",62739,11
"519",91898,6
"520",27158,5
"521",60168,NA
"522",100371,7
"523",100371,9
"524",19728,6
"525",19728,6
"526",77948,4
"527",5636,NA
"528",5636,NA
"529",82023,NA
"530",35471,7
"531",60977,NA
"532",68109,NA
"533",1017,4
"534",1017,6
"535",1017,NA
"536",24753,9
"537",87002,NA
"538",41483,-2
"539",41483,NA
"540",56979,7
"541",26839,4
"542",29585,NA
"543",67264,NA
"544",82319,NA
"545",19403,12
"546",19403,11
"547",30890,3
"548",30890,5
"549",30890,4
"550",14851,NA
"551",5242,7
"552",52272,NA
"553",95406,4
"554",95406,NA
"555",15116,6
"556",16924,NA
"557",101683,9
"558",101683,1
"559",75400,NA
"560",64918,4
"561",64918,6
"562",64918,NA
"563",33386,2
"564",33386,NA
"565",33242,10
"566",38579,3
"567",50302,7
"568",100518,9
"569",100518,10
"570",100518,NA
"571",73675,6
"572",73675,1
"573",89612,NA
"574",62362,NA
"575",68547,12
"576",68547,8
"577",31205,4
"578",31205,2
"579",31205,3
"580",42985,3
"581",95696,NA
"582",51992,1
"583",51992,3
"584",51992,5
"585",51992,-2
"586",4443,7
"587",4443,NA
"588",80536,NA
"589",80536,NA
"590",80536,NA
"591",87175,4
"592",87175,NA
"593",87175,NA
"594",46452,3
"595",46452,10
"596",46452,10
"597",45188,3
"598",15620,-4
"599",16537,NA
"600",64594,9
"601",11547,NA
"602",41687,6
"603",41687,NA
"604",6524,NA
"605",6524,NA
"606",65622,11
"607",65622,NA
"608",20971,NA
"609",12806,NA
"610",97483,NA
"611",88563,5
"612",88563,NA
"613",91074,NA
"614",91074,NA
"615",7035,NA
"616",7035,NA
"617",44831,NA
"618",20577,8
"619",27612,9
"620",64152,1
"621",64152,NA
"622",90078,NA
"623",24485,-1
"624",24485,1
"625",51282,6
"626",51282,3
"627",51282,6
"628",61016,8
"629",16565,NA
"630",96785,NA
"631",96785,NA
"632",96785,NA
"633",96785,NA
"634",96785,NA
"635",20022,NA
"636",20022,NA
"637",17110,10
"638",17110,9
"639",46377,10
"640",46377,5
"641",99165,2
"642",3264,7
"643",51674,NA
"644",57744,NA
"645",83228,NA
"646",10843,5
"647",10843,5
"648",10843,NA
"649",51826,12
"650",101049,NA
"651",101049,NA
"652",74859,1
"653",2521,NA
"654",10688,4
"655",74215,NA
"656",14139,6
"657",10298,NA
"658",21832,7
"659",21832,6
"660",26589,4
"661",65214,NA
"662",87838,NA
"663",21115,2
"664",1241,6
"665",73129,3
"666",18914,NA
"667",68063,-2
"668",58745,NA
"669",58745,NA
"670",58745,NA
"671",92093,NA
"672",93308,4
"673",93308,4
"674",2004,5
"675",2004,NA
"676",2004,NA
"677",23413,NA
"678",33841,8
"679",29267,1
"680",29267,NA
"681",87571,3
"682",64973,NA
"683",64973,NA
"684",61244,10
"685",61244,8
"686",61244,7
"687",87135,10
"688",87135,7
"689",87135,NA
"690",9101,NA
"691",53900,NA
"692",28588,4
"693",28588,3
"694",28588,5
"695",6611,NA
"696",89191,NA
"697",11881,3
"698",11881,3
"699",78652,NA
"700",86102,NA
"701",56007,NA
"702",29949,-2
"703",82148,6
"704",42390,2
"705",42390,1
"706",67187,7
"707",70739,6
"708",14581,8
"709",66352,NA
"710",66352,NA
"711",66352,NA
"712",66352,NA
"713",73944,4
"714",811,-3
"715",54325,0
"716",96747,NA
"717",96747,NA
"718",96103,7
"719",96103,NA
"720",66082,6
"721",66082,NA
"722",15288,9
"723",60942,12
"724",75470,NA
"725",24550,3
"726",24550,3
"727",85739,NA
"728",60235,-1
"729",60235,3
"730",85541,NA
"731",19680,3
"732",98824,NA
"733",98824,NA
"734",17859,NA
"735",87876,NA
"736",80382,NA
"737",63597,1
"738",63597,4
"739",11162,6
"740",11162,7
"741",11162,11
"742",80150,3
"743",80150,6
"744",80150,4
"745",54724,7
"746",10580,0
"747",10580,NA
"748",33185,7
"749",33185,2
"750",83131,6
"751",62496,9
"752",12676,2
"753",53188,6
"754",99766,NA
"755",7806,NA
"756",3367,2
"757",40602,10
"758",40602,12
"759",69274,4
"760",69274,3
"761",87452,7
"762",81633,2
"763",27729,1
"764",27729,5
"765",27729,1
"766",27729,0
"767",27729,NA
"768",31429,5
"769",31429,8
"770",31429,9
"771",59202,NA
"772",29760,3
"773",29760,8
"774",31389,NA
"775",31389,NA
"776",37876,10
"777",48280,NA
"778",8668,NA
"779",65820,9
"780",69662,8
"781",69662,7
"782",83257,8
"783",5686,NA
"784",79730,NA
"785",60713,NA
"786",54195,6
"787",54195,9
"788",73159,4
"789",81395,11
"790",81395,6
"791",39814,7
"792",100830,8
"793",89903,0
"794",89903,1
"795",102428,NA
"796",49992,3
"797",30264,4
"798",30264,4
"799",30264,8
"800",30264,4
"801",30264,NA
"802",66021,4
"803",91615,8
"804",40654,5
"805",40654,3
"806",40654,5
"807",86184,NA
"808",90930,4
"809",41868,-2
"810",89253,NA
"811",51122,8
"812",89575,3
"813",17838,NA
"814",57992,5
"815",45864,11
"816",102086,NA
"817",102086,NA
"818",44558,4
"819",44558,NA
"820",7600,9
"821",75674,NA
"822",75674,NA
"823",75674,NA
"824",77202,7
"825",58717,8
"826",60089,2
"827",68177,2
"828",68177,3
"829",68177,1
"830",68177,5
"831",11340,4
"832",97409,NA
"833",78396,5
"834",91270,7
"835",91270,NA
"836",72928,NA
"837",72928,NA
"838",50328,6
"839",52544,1
"840",52544,-1
"841",52544,NA
"842",91513,NA
"843",2327,NA
"844",17732,NA
"845",44987,NA
"846",65333,6
"847",67729,7
"848",67729,5
"849",67729,7
"850",67729,5
"851",67729,5
"852",67729,NA
"853",16371,5
"854",46485,NA
"855",26437,NA
"856",101696,5
"857",101696,5
"858",101696,NA
"859",77052,NA
"860",77052,NA
"861",78540,1
"862",2131,NA
"863",87402,5
"864",19515,NA
"865",19515,NA
"866",19515,NA
"867",88037,4
"868",82838,NA
"869",45245,2
"870",45245,2
"871",43529,NA
"872",29636,6
"873",73041,6
"874",73041,0
"875",16812,NA
"876",16812,NA
"877",55029,4
"878",55029,1
"879",55029,3
"880",55029,5
"881",57907,1
"882",87120,2
"883",100854,12
"884",100854,NA
"885",15772,NA
"886",75456,10
"887",6522,NA
"888",43422,1
"889",40265,1
"890",43655,NA
"891",77731,5
"892",53212,4
"893",73669,7
"894",73669,NA
"895",97589,2
"896",97589,NA
"897",37171,NA
"898",90662,NA
"899",90662,NA
"900",41666,7
"901",41666,4
"902",53962,NA
"903",53962,NA
"904",49959,NA
"905",49959,NA
"906",49959,NA
"907",41509,NA
"908",47988,7
"909",47988,6
"910",47988,6
"911",84259,NA
"912",95856,NA
"913",74440,6
"914",74440,7
"915",81907,NA
"916",74054,NA
"917",26775,NA
"918",68059,8
"919",68059,NA
"920",79963,8
"921",43146,5
"922",43146,7
"923",43146,7
"924",81279,6
"925",81021,3
"926",89080,7
"927",89080,3
"928",89080,7
"929",24265,8
"930",101060,8
"931",15149,5
"932",66381,NA
"933",24354,4
"934",24354,5
"935",24354,7
"936",44761,4
"937",44761,NA
"938",44761,NA
"939",2199,-1
"940",2199,-3
"941",16007,4
"942",3314,6
"943",3314,7
"944",3314,12
"945",3314,8
"946",385,NA
"947",4477,5
"948",71070,4
"949",85512,6
"950",32855,7
"951",32855,6
"952",3493,7
"953",96426,NA
"954",69486,14
"955",100883,NA
"956",46334,5
"957",46334,4
"958",56092,8
"959",56092,9
"960",34328,NA
"961",23574,7
"962",23574,4
"963",80105,NA
"964",72390,NA
"965",49826,NA
"966",26238,NA
"967",43102,NA
"968",66619,4
"969",66619,NA
"970",76872,7
"971",36763,8
"972",36763,6
"973",79134,NA
"974",79134,NA
"975",79134,NA
"976",84022,6
"977",84022,NA
"978",13714,5
"979",13714,3
"980",37520,NA
"981",35835,NA
"982",35835,NA
"983",35835,NA
"984",35835,NA
"985",35835,NA
"986",46977,5
"987",46977,9
"988",46977,6
"989",46977,6
"990",58499,3
"991",58499,9
"992",95901,-1
"993",9243,NA
"994",9243,NA
"995",52980,NA
"996",98268,10
"997",56660,NA
"998",56660,NA
"999",56660,NA
"1000",32337,3
"1001",32337,5
"1002",7834,4
"1003",7834,4
"1004",7834,2
"1005",7834,6
"1006",79202,7
"1007",79202,6
"1008",56566,NA
"1009",75996,2
"1010",87115,NA
"1011",87115,NA
"1012",87115,NA
"1013",87115,NA
"1014",30684,4
"1015",61707,5
"1016",14455,NA
"1017",94353,8
"1018",99640,5
"1019",99640,5
"1020",99640,8
"1021",99640,NA
"1022",99640,NA
"1023",75549,7
"1024",75549,NA
"1025",74729,4
"1026",27508,NA
"1027",17428,NA
"1028",17428,NA
"1029",17428,NA
"1030",14523,NA
"1031",14523,NA
"1032",81403,NA
"1033",9052,NA
"1034",33413,NA
"1035",96758,9
"1036",96758,6
"1037",96758,7
"1038",88437,5
"1039",17065,NA
"1040",17065,NA
"1041",17065,NA
"1042",72329,NA
"1043",47176,NA
"1044",44161,1
"1045",84023,4
"1046",1664,NA
"1047",95594,NA
"1048",95594,NA
"1049",2857,NA
"1050",42451,NA
"1051",42451,NA
"1052",42442,11
"1053",75469,NA
"1054",32806,14
"1055",83059,NA
"1056",99926,6
"1057",99926,3
"1058",80828,7
"1059",6701,9
"1060",19609,8
"1061",19609,NA
"1062",79329,5
"1063",42359,6
"1064",42359,10
"1065",42359,7
"1066",42359,10
"1067",99999,NA
"1068",60127,NA
"1069",28632,NA
"1070",50654,NA
"1071",22367,NA
"1072",10170,NA
"1073",59913,8
"1074",90712,NA
"1075",46391,3
"1076",41704,NA
"1077",50780,6
"1078",50780,5
"1079",50780,6
"1080",79779,11
"1081",68948,6
"1082",68948,8
"1083",68948,6
"1084",68948,3
"1085",68948,5
"1086",24662,-3
"1087",24662,-5
"1088",24662,-3
"1089",24662,0
"1090",43475,7
"1091",43475,6
"1092",15522,10
"1093",99476,NA
"1094",98372,7
"1095",56619,10
"1096",52429,NA
"1097",29899,2
"1098",29899,-1
"1099",29899,4
"1100",29899,0
"1101",29899,-3
"1102",95739,6
"1103",95739,7
"1104",95739,6
"1105",5200,NA
"1106",31645,4
"1107",80099,NA
"1108",92818,5
"1109",82440,1
"1110",82440,0
"1111",67499,NA
"1112",42413,9
"1113",42413,11
"1114",89143,11
"1115",10265,1
"1116",6558,7
"1117",6558,6
"1118",6558,NA
"1119",43844,NA
"1120",100770,NA
"1121",100770,NA
"1122",7174,5
"1123",61671,NA
"1124",83283,3
"1125",83283,6
"1126",52553,5
"1127",42752,7
"1128",42752,7
"1129",42752,4
"1130",82503,6
"1131",15031,4
"1132",61100,9
"1133",42746,10
"1134",21492,NA
"1135",69435,6
"1136",76018,11
"1137",18876,11
"1138",18876,9
"1139",3286,NA
"1140",3286,NA
"1141",3286,NA
"1142",70985,NA
"1143",35205,8
"1144",35205,5
"1145",35205,9
"1146",73716,NA
"1147",73716,NA
"1148",73716,NA
"1149",66722,NA
"1150",66722,NA
"1151",66722,NA
"1152",66722,NA
"1153",61243,NA
"1154",20972,11
"1155",91186,11
"1156",91186,NA
"1157",98654,6
"1158",98654,6
"1159",98654,5
"1160",47666,NA
"1161",34158,3
"1162",34158,6
"1163",51675,9
"1164",76054,2
"1165",76054,-2
"1166",76054,1
"1167",76054,1
"1168",85482,3
"1169",82518,9
"1170",76425,7
"1171",13290,NA
"1172",47154,NA
"1173",53525,9
"1174",100438,3
"1175",50682,3
"1176",50682,1
"1177",50682,NA
"1178",94725,6
"1179",94725,6
"1180",56763,6
"1181",58830,3
"1182",7194,NA
"1183",30542,NA
"1184",15735,3
"1185",15735,NA
"1186",40869,6
"1187",40869,3
"1188",40869,4
"1189",40869,3
"1190",62191,10
"1191",81290,7
"1192",6023,NA
"1193",6023,NA
"1194",7396,NA
"1195",56848,NA
"1196",10583,NA
"1197",10583,NA
"1198",69027,NA
"1199",69027,NA
"1200",74655,7
"1201",19157,NA
"1202",18114,5
"1203",18114,NA
"1204",40146,NA
"1205",33698,1
"1206",91113,NA
"1207",50665,5
"1208",50665,6
"1209",36178,9
"1210",36178,8
"1211",44279,NA
"1212",58316,NA
"1213",83310,NA
"1214",27434,3
"1215",98821,2
"1216",85280,7
"1217",2144,NA
"1218",35307,6
"1219",35307,4
"1220",35307,8
"1221",35307,NA
"1222",40527,NA
"1223",5141,7
"1224",5141,NA
"1225",5141,NA
"1226",2970,NA
"1227",98651,10
"1228",52445,9
"1229",52445,7
"1230",52445,6
"1231",52445,NA
"1232",40425,5
"1233",40425,6
"1234",78133,5
"1235",78133,5
"1236",102287,NA
"1237",1525,-2
"1238",89272,6
"1239",61442,5
"1240",61442,8
"1241",12235,2
"1242",90151,NA
"1243",47825,NA
"1244",19105,NA
"1245",2294,NA
"1246",59285,NA
"1247",84909,3
"1248",74520,NA
"1249",74520,NA
"1250",35059,6
"1251",35059,8
"1252",35059,NA
"1253",35059,NA
"1254",97138,NA
"1255",28544,NA
"1256",23520,7
"1257",23520,5
"1258",23520,7
"1259",64118,6
"1260",64118,7
"1261",64269,NA
"1262",23662,1
"1263",23662,8
"1264",23662,10
"1265",23662,10
"1266",23662,NA
"1267",101492,5
"1268",101492,NA
"1269",28700,9
"1270",28700,9
"1271",37233,3
"1272",37233,5
"1273",37233,5
"1274",38087,NA
"1275",36121,6
"1276",15296,NA
"1277",62949,3
"1278",62949,NA
"1279",24572,NA
"1280",3164,NA
"1281",6368,3
"1282",77415,7
"1283",77415,NA
"1284",77415,NA
"1285",53069,6
"1286",53069,6
"1287",53069,6
"1288",53069,NA
"1289",41456,8
"1290",41456,7
"1291",41456,5
"1292",41456,7
"1293",18770,7
"1294",18770,2
"1295",18770,NA
"1296",18770,3
"1297",18770,5
"1298",67309,NA
"1299",31577,NA
"1300",31577,NA
"1301",31577,NA
"1302",95783,8
"1303",95783,9
"1304",65674,NA
"1305",65674,NA
"1306",65674,NA
"1307",20169,5
"1308",20169,8
"1309",20169,8
"1310",20169,NA
"1311",8608,NA
"1312",8608,NA
"1313",11885,2
"1314",26046,2
"1315",26046,4
"1316",26046,5
"1317",26046,3
"1318",26046,NA
"1319",99404,3
"1320",32978,3
"1321",32978,8
"1322",32978,4
"1323",32978,5
"1324",32978,NA
"1325",1527,NA
"1326",58535,9
"1327",6464,NA
"1328",27245,NA
"1329",29420,3
"1330",29420,6
"1331",29420,3
"1332",52347,NA
"1333",35006,5
"1334",35006,NA
"1335",47844,NA
"1336",88978,2
"1337",88978,9
"1338",88978,5
"1339",88978,6
"1340",88978,NA
"1341",86038,4
"1342",86038,5
"1343",37343,NA
"1344",27389,5
"1345",76611,3
"1346",76611,2
"1347",81750,6
"1348",81750,NA
"1349",53960,NA
"1350",25060,NA
"1351",16739,4
"1352",23551,13
"1353",23551,10
"1354",9140,NA
"1355",9140,NA
"1356",39999,3
"1357",39999,-1
"1358",71540,5
"1359",71540,9
"1360",71540,NA
"1361",66363,5
"1362",78110,3
"1363",101308,2
"1364",15146,NA
"1365",15146,NA
"1366",15146,NA
"1367",59488,11
"1368",59488,NA
"1369",18409,NA
"1370",57943,1
"1371",57943,5
"1372",56932,NA
"1373",17394,3
"1374",17394,4
"1375",17394,6
"1376",17394,8
"1377",81567,10
"1378",84239,4
"1379",28591,9
"1380",95976,8
"1381",95976,9
"1382",71049,7
"1383",71049,9
"1384",71049,8
"1385",102262,NA
"1386",6779,NA
"1387",15443,NA
"1388",81368,5
"1389",81368,8
"1390",47481,NA
"1391",94386,NA
"1392",93158,NA
"1393",47953,NA
"1394",60114,2
"1395",60114,8
"1396",674,NA
"1397",97599,6
"1398",32266,NA
"1399",93847,7
"1400",76864,NA
"1401",81733,3
"1402",81733,NA
"1403",54584,10
"1404",82519,NA
"1405",57705,NA
"1406",16869,11
"1407",29790,3
"1408",29790,NA
"1409",42614,6
"1410",62830,4
"1411",62830,6
"1412",100314,NA
"1413",40605,2
"1414",40605,4
"1415",40605,-1
"1416",26367,5
"1417",26367,NA
"1418",26367,NA
"1419",100299,4
"1420",65455,10
"1421",65455,10
"1422",13761,7
"1423",71858,12
"1424",71858,NA
"1425",32410,6
"1426",32410,7
"1427",32410,9
"1428",32410,7
"1429",32410,12
"1430",32410,11
"1431",75854,NA
"1432",38265,NA
"1433",24837,5
"1434",14527,NA
"1435",86062,3
"1436",79605,8
"1437",79605,2
"1438",79605,NA
"1439",86585,NA
"1440",40595,3
"1441",40595,NA
"1442",45292,NA
"1443",45292,NA
"1444",35148,5
"1445",81720,8
"1446",81720,10
"1447",65338,4
"1448",25261,7
"1449",97088,1
"1450",97088,3
"1451",62074,5
"1452",72752,NA
"1453",17468,4
"1454",17468,4
"1455",17468,0
"1456",17468,5
"1457",17468,NA
"1458",17468,NA
"1459",71195,NA
"1460",71195,NA
"1461",71195,NA
"1462",80857,9
"1463",62426,4
"1464",27159,NA
"1465",97886,4
"1466",97886,6
"1467",97886,5
"1468",97886,4
"1469",97886,5
"1470",97886,5
"1471",97886,NA
"1472",75890,7
"1473",27687,NA
"1474",27687,NA
"1475",4473,NA
"1476",96806,NA
"1477",96806,NA
"1478",7345,5
"1479",64709,10
"1480",64709,5
"1481",64709,9
"1482",64709,8
"1483",4373,NA
"1484",5701,3
"1485",14758,6
"1486",14758,4
"1487",14758,4
"1488",14758,NA
"1489",67241,NA
"1490",67241,NA
"1491",84177,6
"1492",84177,9
"1493",84177,NA
"1494",93556,3
"1495",93556,8
"1496",69420,3
"1497",41657,NA
"1498",77177,6
"1499",77177,4
"1500",3862,8
"1501",3862,6
"1502",57094,3
"1503",70339,8
"1504",70339,3
"1505",70339,8
"1506",18352,NA
"1507",82004,NA
"1508",11213,3
"1509",62621,9
"1510",62621,8
"1511",62621,11
"1512",64423,12
"1513",32819,NA
"1514",32819,NA
"1515",32819,NA
"1516",99625,NA
"1517",36401,9
"1518",36401,2
"1519",61991,10
"1520",61991,8
"1521",76798,2
"1522",72274,9
"1523",72274,NA
"1524",92740,9
"1525",86718,NA
"1526",38230,6
"1527",42036,3
"1528",42036,4
"1529",42036,3
"1530",42036,NA
"1531",42036,NA
"1532",76146,3
"1533",76146,NA
"1534",58909,10
"1535",58909,NA
"1536",26363,1
"1537",26363,4
"1538",97534,9
"1539",83571,NA
"1540",44720,7
"1541",44720,10
"1542",44720,8
"1543",44720,12
"1544",10261,NA
"1545",93851,8
"1546",41281,5
"1547",102473,6
"1548",94105,0
"1549",24603,NA
"1550",75459,3
"1551",24155,2
"1552",88670,NA
"1553",88670,NA
"1554",69669,NA
"1555",20364,9
"1556",76847,2
"1557",96762,NA
"1558",96762,NA
"1559",981,9
"1560",981,7
"1561",84941,7
"1562",9899,NA
"1563",50974,3
"1564",1296,NA
"1565",66236,NA
"1566",28900,9
"1567",19547,NA
"1568",19547,NA
"1569",80806,NA
"1570",80806,NA
"1571",37494,NA
"1572",9672,3
"1573",9672,NA
"1574",87787,3
"1575",59982,6
"1576",35680,NA
"1577",72184,5
"1578",31951,NA
"1579",82523,0
"1580",82523,3
"1581",30691,6
"1582",21896,5
"1583",84420,NA
"1584",7883,6
"1585",97047,6
"1586",8192,4
"1587",8192,0
"1588",8192,2
"1589",24906,NA
"1590",83785,4
