"","unid","cft_score"
"422",17110,5
"423",46377,6
"424",46377,6
"425",57744,6
"426",10843,5
"427",10843,5
"428",10843,5
"429",74859,4
"430",10688,3
"431",14139,6
"432",21832,7
"433",21832,7
"434",26589,7
"435",65214,7
"436",87838,7
"437",21115,7
"438",1241,3
"439",73129,4
"440",58745,6
"441",58745,6
"442",58745,6
"443",93308,7
"444",93308,7
"445",2004,5
"446",2004,5
"447",2004,5
"448",87571,9
"449",64973,6
"450",64973,6
"451",61244,7
"452",61244,7
"453",61244,7
"454",87135,6
"455",87135,6
"456",87135,6
"457",53900,2
"458",28588,5
"459",28588,5
"460",28588,5
"461",89191,4
"462",11881,5
"463",11881,5
"464",86102,9
"465",29949,6
"466",82148,5
"467",42390,1
"468",42390,1
"469",67187,7
"470",70739,7
"471",66352,5
"472",66352,5
"473",66352,5
"474",66352,5
"475",73944,5
"476",811,2
"477",54325,5
"478",96747,6
"479",96747,6
"480",96103,5
"481",96103,5
"482",15288,6
"483",60942,2
"484",75470,6
"485",24550,7
"486",24550,7
"487",60235,5
"488",60235,5
"489",19680,3
"490",98824,5
"491",98824,5
"492",87876,9
"493",80382,6
"494",63597,6
"495",63597,6
"496",11162,6
"497",11162,6
"498",11162,6
"499",54724,5
"500",10580,9
"501",10580,9
"502",33185,7
"503",33185,7
"504",83131,7
"505",12676,3
"506",3367,4
"507",40602,1
"508",40602,1
"509",69274,8
"510",69274,8
"511",27729,8
"512",27729,8
"513",27729,8
"514",27729,8
"515",27729,8
"516",31429,5
"517",31429,5
"518",31429,5
"519",29760,6
"520",29760,6
"521",37876,10
"522",8668,4
"523",65820,6
"524",69662,7
"525",69662,7
"526",83257,4
"527",60713,3
"528",54195,6
"529",54195,6
"530",39814,5
"531",89903,7
"532",89903,7
"533",49992,7
"534",30264,5
"535",30264,5
"536",30264,5
"537",30264,5
"538",30264,5
"539",66021,8
"540",40654,5
"541",40654,5
"542",40654,5
"543",90930,7
"544",51122,2
"545",17838,7
"546",45864,7
"547",102086,4
"548",102086,4
"549",7600,5
"550",75674,4
"551",75674,4
"552",75674,4
"553",77202,5
"554",58717,7
"555",60089,8
"556",68177,5
"557",68177,5
"558",68177,5
"559",68177,5
"560",11340,6
"561",97409,4
"562",50328,7
"563",52544,5
"564",52544,5
"565",52544,5
"566",2327,3
"567",44987,8
"568",65333,4
"569",67729,3
"570",67729,3
"571",67729,3
"572",67729,3
"573",67729,3
"574",67729,3
"575",16371,4
"576",77052,7
"577",77052,7
"578",2131,4
"579",19515,4
"580",19515,4
"581",19515,4
"582",45245,5
"583",45245,5
"584",43529,7
"585",29636,8
"586",73041,7
"587",73041,7
"588",55029,7
"589",55029,7
"590",55029,7
"591",55029,7
"592",57907,5
"593",75456,6
"594",6522,3
"595",43422,3
"596",40265,7
"597",43655,4
"598",77731,6
"599",53212,3
"600",73669,2
"601",73669,2
"602",41666,5
"603",41666,5
"604",53962,6
"605",53962,6
"606",49959,3
"607",49959,3
"608",49959,3
"609",41509,8
"610",47988,3
"611",47988,3
"612",47988,3
"613",74440,2
"614",74440,2
"615",74054,3
"616",26775,5
"617",68059,6
"618",68059,6
"619",79963,6
"620",43146,4
"621",43146,4
"622",43146,4
"623",81279,4
"624",81021,6
"625",89080,6
"626",89080,6
"627",89080,6
"628",24265,5
"629",101060,6
"630",24354,7
"631",24354,7
"632",24354,7
"633",16007,3
"634",3314,5
"635",3314,5
"636",3314,5
"637",3314,5
"638",4477,7
"639",71070,6
"640",32855,7
"641",32855,7
"642",96426,7
"643",46334,7
"644",46334,7
"645",56092,4
"646",56092,4
"647",34328,7
"648",23574,4
"649",23574,4
"650",80105,4
"651",26238,6
"652",76872,4
"653",36763,7
"654",36763,7
"655",37520,6
"656",35835,1
"657",35835,1
"658",35835,1
"659",35835,1
"660",35835,1
"661",46977,5
"662",46977,5
"663",46977,5
"664",46977,5
"665",58499,3
"666",58499,3
"667",95901,7
"668",9243,5
"669",9243,5
"670",52980,7
"671",98268,8
"672",32337,6
"673",32337,6
"674",7834,6
"675",7834,6
"676",7834,6
"677",7834,6
"678",79202,6
"679",79202,6
"680",75996,4
"681",87115,7
"682",87115,7
"683",87115,7
"684",87115,7
"685",14455,3
"686",94353,4
"687",75549,5
"688",75549,5
"689",74729,6
"690",27508,6
"691",14523,3
"692",14523,3
"693",9052,6
"694",96758,5
"695",96758,5
"696",96758,5
"697",88437,7
"698",17065,2
"699",17065,2
"700",17065,2
"701",72329,7
"702",44161,7
"703",84023,8
"704",1664,5
"705",42451,7
"706",42451,7
"707",42442,3
"708",75469,5
"709",32806,3
"710",83059,6
"711",99926,7
"712",99926,7
"713",80828,10
"714",19609,4
"715",19609,4
"716",42359,6
"717",42359,6
"718",42359,6
"719",42359,6
"720",60127,6
"721",46391,5
"722",41704,3
"723",50780,2
"724",50780,2
"725",50780,2
"726",68948,7
"727",68948,7
"728",68948,7
"729",68948,7
"730",68948,7
"731",24662,3
"732",24662,3
"733",24662,3
"734",24662,3
"735",43475,6
"736",43475,6
"737",15522,10
"738",99476,5
"739",56619,8
"740",29899,6
"741",29899,6
"742",29899,6
"743",29899,6
"744",29899,6
"745",95739,6
"746",95739,6
"747",95739,6
"748",31645,6
"749",80099,6
"750",67499,7
"751",42413,3
"752",42413,3
"753",89143,6
"754",6558,7
"755",6558,7
"756",6558,7
"757",43844,9
"758",61671,7
"759",83283,4
"760",83283,4
"761",42752,5
"762",42752,5
"763",42752,5
"764",82503,6
"765",15031,6
"766",42746,6
"767",21492,5
"768",76018,6
"769",3286,7
"770",3286,7
"771",3286,7
"772",35205,5
"773",35205,5
"774",35205,5
"775",73716,5
"776",73716,5
"777",73716,5
"778",61243,4
"779",20972,7
"780",91186,5
"781",91186,5
"782",98654,8
"783",98654,8
"784",98654,8
"785",34158,6
"786",34158,6
"787",51675,3
"788",76054,6
"789",76054,6
"790",76054,6
"791",76054,6
"792",82518,9
"793",76425,4
"794",13290,5
"795",47154,6
"796",50682,3
"797",50682,3
"798",50682,3
"799",94725,9
"800",94725,9
"801",56763,6
"802",58830,8
"803",30542,4
"804",15735,6
"805",15735,6
"806",40869,6
"807",40869,6
"808",40869,6
"809",40869,6
"810",62191,9
"811",81290,6
"812",7396,9
"813",56848,5
"814",69027,9
"815",69027,9
"816",40146,9
"817",33698,3
"818",50665,7
"819",50665,7
"820",36178,5
"821",36178,5
"822",44279,5
"823",27434,6
"824",98821,6
"825",2144,3
"826",35307,6
"827",35307,6
"828",35307,6
"829",35307,6
"830",40527,3
"831",52445,4
"832",52445,4
"833",52445,4
"834",52445,4
"835",40425,6
"836",40425,6
"837",78133,7
"838",78133,7
"839",102287,6
"840",89272,8
"841",61442,6
"842",61442,6
"843",90151,6
"844",47825,6
"845",2294,5
"846",35059,5
"847",35059,5
"848",35059,5
"849",35059,5
"850",23520,4
"851",23520,4
"852",23520,4
"853",64118,4
"854",64118,4
"855",23662,5
"856",23662,5
"857",23662,5
"858",23662,5
"859",23662,5
"860",28700,4
"861",28700,4
"862",37233,6
"863",37233,6
"864",37233,6
"865",38087,7
"866",24572,6
"867",6368,10
"868",77415,4
"869",77415,4
"870",77415,4
"871",53069,7
"872",53069,7
"873",53069,7
"874",53069,7
"875",41456,9
"876",41456,9
"877",41456,9
"878",41456,9
"879",18770,6
"880",18770,6
"881",18770,6
"882",18770,6
"883",18770,6
"884",67309,6
"885",95783,3
"886",95783,3
"887",20169,3
"888",20169,3
"889",20169,3
"890",20169,3
"891",8608,5
"892",8608,5
"893",26046,7
"894",26046,7
"895",26046,7
"896",26046,7
"897",26046,7
"898",99404,4
"899",32978,7
"900",32978,7
"901",32978,7
"902",32978,7
"903",32978,7
"904",1527,3
"905",29420,4
"906",29420,4
"907",29420,4
"908",52347,7
"909",35006,6
"910",35006,6
"911",47844,7
"912",88978,7
"913",88978,7
"914",88978,7
"915",88978,7
"916",88978,7
"917",86038,7
"918",86038,7
"919",76611,5
"920",76611,5
"921",81750,6
"922",81750,6
"923",53960,4
"924",16739,6
"925",23551,6
"926",23551,6
"927",78110,6
"928",18409,6
"929",57943,5
"930",57943,5
"931",56932,7
"932",17394,9
"933",17394,9
"934",17394,9
"935",17394,9
"936",81567,6
"937",84239,4
"938",28591,7
"939",95976,4
"940",95976,4
"941",71049,4
"942",71049,4
"943",71049,4
"944",81368,3
"945",81368,3
"946",47481,8
"947",93158,5
"948",60114,6
"949",60114,6
"950",93847,8
"951",76864,3
"952",81733,7
"953",81733,7
"954",54584,4
"955",42614,4
"956",62830,7
"957",62830,7
"958",40605,5
"959",40605,5
"960",40605,5
"961",100299,4
"962",65455,5
"963",65455,5
"964",13761,4
"965",32410,8
"966",32410,8
"967",32410,8
"968",32410,8
"969",32410,8
"970",32410,8
"971",38265,9
"972",24837,5
"973",14527,7
"974",40595,5
"975",40595,5
"976",45292,5
"977",45292,5
"978",81720,6
"979",81720,6
"980",25261,7
"981",97088,6
"982",97088,6
"983",62074,4
"984",17468,6
"985",17468,6
"986",17468,6
"987",17468,6
"988",17468,6
"989",17468,6
"990",71195,4
"991",71195,4
"992",71195,4
"993",80857,5
"994",62426,6
"995",97886,7
"996",97886,7
"997",97886,7
"998",97886,7
"999",97886,7
"1000",97886,7
"1001",97886,7
"1002",27687,7
"1003",27687,7
"1004",4473,5
"1005",7345,9
"1006",64709,4
"1007",64709,4
"1008",64709,4
"1009",64709,4
"1010",5701,5
"1011",14758,8
"1012",14758,8
"1013",14758,8
"1014",14758,8
"1015",84177,8
"1016",84177,8
"1017",84177,8
"1018",93556,7
"1019",93556,7
"1020",69420,4
"1021",41657,8
"1022",77177,3
"1023",77177,3
"1024",3862,3
"1025",3862,3
"1026",57094,2
"1027",70339,4
"1028",70339,4
"1029",70339,4
"1030",18352,4
"1031",62621,5
"1032",62621,5
"1033",62621,5
"1034",64423,8
"1035",32819,3
"1036",32819,3
"1037",32819,3
"1038",99625,7
"1039",61991,6
"1040",61991,6
"1041",76798,3
"1042",92740,6
"1043",86718,7
"1044",38230,5
"1045",42036,7
"1046",42036,7
"1047",42036,7
"1048",42036,7
"1049",42036,7
"1050",58909,7
"1051",58909,7
"1052",26363,7
"1053",26363,7
"1054",44720,8
"1055",44720,8
"1056",44720,8
"1057",44720,8
"1058",10261,6
"1059",93851,5
"1060",41281,7
"1061",102473,8
"1062",24155,9
"1063",88670,7
"1064",88670,7
"1065",20364,1
"1066",84941,8
"1067",9899,6
"1068",50974,8
"1069",28900,5
"1070",80806,3
"1071",80806,3
"1072",37494,4
"1073",9672,8
"1074",9672,8
"1075",87787,3
"1076",59982,5
"1077",72184,9
"1078",31951,4
"1079",30691,3
"1080",21896,5
"1081",84420,5
"1082",7883,5
"1083",97047,7
"1084",8192,4
"1085",8192,4
"1086",8192,4
"1087",83785,8
"1088",83785,8
"1089",27752,8
"1090",85866,10
"1091",95445,7
"1092",95445,7
"1093",61177,8
"1094",61177,8
"1095",61177,8
"1096",61177,8
"1097",76541,6
"1098",16564,2
"1099",1757,3
"1100",61713,7
"1101",61713,7
"1102",60371,4
"1103",25337,5
"1104",55334,3
"1105",25126,5
"1106",3821,5
"1107",49126,5
"1108",49126,5
"1109",17011,6
"1110",17011,6
"1111",17011,6
"1112",17011,6
"1113",84892,8
"1114",84892,8
"1115",84892,8
"1116",82144,9
"1117",82144,9
"1118",82144,9
"1119",19246,4
"1120",7956,1
"1121",7956,1
"1122",7956,1
"1123",69454,4
"1124",69454,4
"1125",13360,5
"1126",65354,6
"1127",65354,6
"1128",14594,5
"1129",14594,5
"1130",14594,5
"1131",14594,5
"1132",14594,5
"1133",14594,5
"1134",14386,5
"1135",14386,5
"1136",14386,5
"1137",17756,4
"1138",17756,4
"1139",4127,6
"1140",4127,6
"1141",81937,7
"1142",81937,7
"1143",81937,7
"1144",76844,9
"1145",76844,9
"1146",76844,9
"1147",12758,5
"1148",58071,7
"1149",49334,4
"1150",49334,4
"1151",53317,2
"1152",70451,3
"1153",83805,4
"1154",5480,2
"1155",5480,2
"1156",9053,7
"1157",61859,7
"1158",29461,8
"1159",29461,8
"1160",32418,5
"1161",26020,7
"1162",26020,7
"1163",62867,4
"1164",82547,5
"1165",82547,5
"1166",82547,5
"1167",49331,8
"1168",12295,5
"1169",35577,8
"1170",46488,7
"1171",46488,7
"1172",86073,5
"1173",86073,5
"1174",86073,5
"1175",22309,3
"1176",78618,6
"1177",57227,6
"1178",56717,7
"1179",56717,7
"1180",56717,7
"1181",46046,5
"1182",99702,7
"1183",99702,7
"1184",34846,7
"1185",34846,7
"1186",34846,7
"1187",34846,7
"1188",34846,7
"1189",23248,4
"1190",100017,5
"1191",100017,5
"1192",100017,5
"1193",100017,5
"1194",66507,5
"1195",22543,7
"1196",22543,7
"1197",22543,7
"1198",29258,7
"1199",29258,7
"1200",29258,7
"1201",54916,9
"1202",54916,9
"1203",54916,9
"1204",54916,9
"1205",54916,9
"1206",35381,7
"1207",35724,5
"1208",35724,5
"1209",35724,5
"1210",35724,5
"1211",35724,5
"1212",35724,5
"1213",30049,7
"1214",21162,3
"1215",378,5
"1216",378,5
"1217",17240,6
"1218",15644,5
"1219",93755,4
"1220",61426,4
"1221",46664,7
"1222",75717,7
"1223",32529,5
"1224",32529,5
"1225",14419,7
"1226",42717,6
"1227",42717,6
"1228",42717,6
"1229",47809,5
"1230",11063,7
"1231",77654,5
"1232",77654,5
"1233",56863,4
"1234",67928,7
"1235",33018,3
"1236",62785,4
"1237",62139,6
"1238",62139,6
"1239",62139,6
"1240",29815,6
"1241",96262,6
"1242",96262,6
"1243",42264,6
"1244",42264,6
"1245",42264,6
"1246",64681,3
"1247",64681,3
"1248",64681,3
"1249",64681,3
"1250",82236,3
"1251",158,4
"1252",158,4
"1253",158,4
"1254",158,4
"1255",158,4
"1256",93699,9
"1257",93699,9
"1258",50559,10
"1259",73864,8
"1260",20262,3
"1261",3620,4
"1262",63567,6
"1263",63567,6
"1264",63567,6
"1265",63567,6
"1266",22747,9
"1267",74561,8
"1268",74561,8
"1269",42711,3
"1270",42711,3
"1271",42711,3
"1272",73132,7
"1273",47706,5
"1274",72021,5
"1275",60425,6
"1276",60425,6
"1277",31004,5
"1278",750,1
"1279",79694,4
"1280",52699,6
"1281",59823,4
"1282",88944,5
"1283",57759,7
"1284",61778,7
"1285",93767,7
"1286",93767,7
"1287",67137,4
"1288",13730,3
"1289",13730,3
"1290",13730,3
"1291",2122,7
"1292",2122,7
"1293",40914,6
"1294",54705,6
"1295",33066,8
"1296",15968,4
"1297",38029,7
"1298",38029,7
"1299",22884,2
"1300",92926,10
"1301",44349,7
"1302",54350,4
"1303",68975,3
"1304",23102,7
"1305",30260,6
"1306",47484,3
"1307",47484,3
"1308",47484,3
"1309",47484,3
"1310",47484,3
"1311",47484,3
"1312",64837,8
"1313",90409,5
"1314",28522,9
"1315",28522,9
"1316",28522,9
"1317",28522,9
"1318",28522,9
"1319",66920,3
"1320",66920,3
"1321",36853,4
"1322",36853,4
"1323",60074,4
"1324",60074,4
"1325",43432,4
"1326",25796,3
"1327",13023,7
"1328",13023,7
"1329",18624,7
"1330",18624,7
"1331",45395,2
"1332",24153,6
"1333",26937,4
"1334",26937,4
"1335",26937,4
"1336",95907,3
"1337",77918,6
"1338",22963,6
"1339",36657,4
"1340",36657,4
"1341",36657,4
"1342",36657,4
"1343",6250,6
"1344",6250,6
"1345",10661,3
"1346",10661,3
"1347",10661,3
"1348",10661,3
"1349",10661,3
"1350",10661,3
"1351",10452,3
"1352",9521,5
"1353",84962,3
"1354",84962,3
"1355",10767,4
"1356",84503,6
"1357",77227,5
"1358",77707,9
"1359",77707,9
"1360",5378,7
"1361",68552,9
"1362",68552,9
"1363",68552,9
"1364",25608,7
"1365",91909,6
"1366",91909,6
"1367",46993,8
"1368",63377,7
"1369",63377,7
"1370",63377,7
"1371",94980,5
"1372",94980,5
"1373",86678,6
"1374",13314,3
"1375",13314,3
"1376",13314,3
"1377",25994,5
"1378",16563,3
"1379",33225,2
"1380",100344,3
"1381",95309,6
"1382",8470,6
"1383",18871,2
"1384",58252,8
"1385",49060,5
"1386",49060,5
"1387",1657,8
"1388",1657,8
"1389",88444,6
"1390",33566,7
"1391",33566,7
"1392",18544,6
"1393",26955,6
"1394",26955,6
"1395",26955,6
"1396",26955,6
"1397",26955,6
"1398",80326,5
"1399",90745,6
"1400",90745,6
"1401",76687,4
"1402",76687,4
"1403",33987,3
"1404",23965,6
"1405",23965,6
"1406",23965,6
"1407",23965,6
"1408",50051,6
"1409",20842,6
"1410",20842,6
"1411",75573,7
"1412",79435,6
"1413",67995,5
"1414",67995,5
"1415",10418,7
"1416",78358,6
"1417",38182,6
"1418",38182,6
"1419",38182,6
"1420",38182,6
"1421",77255,7
"1422",77255,7
"1423",77255,7
"1424",77255,7
"1425",77255,7
"1426",60398,6
"1427",60398,6
"1428",45265,6
"1429",19465,5
"1430",80866,5
"1431",80866,5
"1432",69101,5
"1433",26476,1
"1434",51092,4
"1435",72648,7
"1436",79331,4
"1437",87899,6
"1438",4672,4
"1439",4672,4
"1440",46685,7
"1441",46685,7
"1442",46685,7
"1443",46685,7
"1444",46685,7
"1445",46685,7
"1446",46685,7
"1447",46685,7
"1448",46685,7
"1449",33894,4
"1450",81570,4
"1451",81570,4
"1452",81570,4
"1453",81570,4
"1454",15015,3
"1455",89084,9
"1456",89084,9
"1457",47014,7
"1458",75891,3
"1459",75891,3
"1460",88341,5
"1461",88341,5
"1462",32177,6
"1463",32177,6
"1464",32177,6
"1465",36544,4
"1466",62416,6
"1467",11655,5
"1468",11655,5
"1469",11655,5
"1470",11655,5
"1471",11655,5
"1472",11655,5
"1473",74760,5
"1474",74760,5
"1475",46238,6
"1476",46238,6
"1477",19162,5
"1478",19162,5
"1479",14310,4
"1480",42727,7
"1481",63119,8
"1482",53290,5
"1483",53290,5
"1484",52120,6
"1485",52120,6
"1486",100257,7
"1487",100257,7
"1488",100257,7
"1489",100257,7
"1490",100257,7
"1491",100257,7
"1492",81947,4
"1493",50932,4
"1494",50932,4
"1495",50932,4
"1496",50932,4
"1497",50932,4
"1498",24492,6
"1499",24492,6
"1500",24492,6
"1501",75307,5
"1502",73232,5
"1503",73232,5
"1504",73232,5
"1505",37551,5
"1506",92609,7
"1507",22762,7
"1508",22762,7
"1509",94081,6
"1510",92642,6
"1511",92642,6
"1512",26415,3
"1513",36002,5
"1514",36002,5
"1515",36002,5
"1516",36002,5
"1517",25009,5
"1518",25009,5
"1519",25009,5
"1520",96705,10
"1521",96705,10
"1522",76572,8
"1523",76572,8
"1524",10322,5
"1525",24457,4
"1526",67528,8
"1527",67528,8
"1528",38724,5
"1529",24945,3
"1530",42998,3
"1531",42998,3
"1532",42998,3
"1533",64915,5
"1534",64915,5
"1535",27177,6
"1536",27177,6
"1537",101898,5
"1538",37240,5
"1539",34412,4
"1540",20663,6
"1541",55680,6
"1542",55680,6
"1543",22149,3
"1544",73531,6
"1545",73531,6
"1546",73531,6
"1547",73531,6
"1548",21545,9
"1549",82044,4
"1550",82044,4
"1551",82044,4
"1552",82044,4
"1553",1097,5
"1554",5666,7
"1555",94356,4
"1556",8106,4
"1557",8106,4
"1558",8106,4
"1559",8106,4
"1560",48673,7
"1561",85094,9
"1562",65207,9
"1563",96771,7
"1564",96771,7
"1565",30883,3
"1566",97887,1
"1567",97887,1
"1568",74032,7
"1569",74032,7
"1570",9226,4
"1571",9226,4
"1572",24802,6
"1573",24802,6
"1574",14821,7
"1575",12686,7
"1576",12686,7
"1577",17038,5
"1578",17038,5
"1579",17038,5
"1580",17038,5
"1581",65830,7
"1582",65830,7
"1583",65830,7
"1584",76091,7
"1585",56832,3
"1586",56832,3
"1587",76612,4
"1588",76612,4
"1589",69175,7
"1590",69175,7
"1591",69175,7
"1592",69175,7
"1593",69175,7
"1594",44684,4
"1595",44684,4
"1596",44684,4
"1597",12726,7
"1598",55200,5
"1599",50543,5
"1600",61416,8
"1601",53395,6
"1602",53395,6
"1603",53395,6
"1604",53395,6
"1605",53395,6
"1606",53395,6
"1607",53395,6
"1608",37153,2
"1609",79135,5
"1610",47398,6
"1611",12484,4
"1612",60172,3
"1613",60172,3
"1614",49578,3
"1615",49578,3
"1616",42495,7
"1617",42495,7
"1618",42495,7
"1619",42495,7
"1620",42495,7
"1621",25309,4
"1622",99890,6
"1623",99890,6
"1624",51004,8
"1625",75535,7
"1626",75535,7
"1627",22606,9
"1628",22606,9
"1629",58540,4
"1630",58540,4
"1631",2267,1
"1632",2267,1
"1633",488,5
"1634",488,5
"1635",69442,10
"1636",69442,10
"1637",69442,10
"1638",86168,3
"1639",81887,3
"1640",81887,3
"1641",94812,7
"1642",14515,4
"1643",14515,4
"1644",14515,4
"1645",7224,5
"1646",7224,5
"1647",7224,5
"1648",7224,5
"1649",67758,9
"1650",60992,7
"1651",52754,4
"1652",52754,4
"1653",52754,4
"1654",52754,4
"1655",23543,2
"1656",23543,2
"1657",23543,2
"1658",23543,2
"1659",57157,6
"1660",34028,4
"1661",99215,5
"1662",99215,5
"1663",56352,2
"1664",56352,2
"1665",63550,8
