"","unid","com_score"
"422",7834,6
"423",7834,6
"424",7834,6
"425",7834,6
"426",79202,4
"427",79202,4
"428",75996,4
"429",74729,7
"430",14523,5
"431",14523,5
"432",9052,7
"433",96758,7
"434",96758,7
"435",96758,7
"436",88437,7
"437",84023,6
"438",1664,7
"439",42451,8
"440",42451,8
"441",42442,5
"442",83059,4
"443",99926,4
"444",99926,4
"445",80828,6
"446",19609,4
"447",19609,4
"448",42359,5
"449",42359,5
"450",42359,5
"451",42359,5
"452",46391,3
"453",50780,5
"454",50780,5
"455",50780,5
"456",68948,5
"457",68948,5
"458",68948,5
"459",68948,5
"460",68948,5
"461",24662,6
"462",24662,6
"463",24662,6
"464",24662,6
"465",43475,5
"466",43475,5
"467",56619,5
"468",29899,5
"469",29899,5
"470",29899,5
"471",29899,5
"472",29899,5
"473",31645,5
"474",67499,7
"475",42413,5
"476",42413,5
"477",89143,6
"478",6558,7
"479",6558,7
"480",6558,7
"481",43844,5
"482",61671,7
"483",83283,5
"484",83283,5
"485",42752,6
"486",42752,6
"487",42752,6
"488",42746,4
"489",76018,5
"490",3286,8
"491",3286,8
"492",3286,8
"493",35205,6
"494",35205,6
"495",35205,6
"496",61243,5
"497",34158,5
"498",34158,5
"499",76054,6
"500",76054,6
"501",76054,6
"502",76054,6
"503",82518,6
"504",76425,5
"505",13290,5
"506",94725,7
"507",94725,7
"508",56763,6
"509",58830,9
"510",15735,7
"511",15735,7
"512",40869,6
"513",40869,6
"514",40869,6
"515",40869,6
"516",62191,7
"517",81290,4
"518",7396,5
"519",56848,5
"520",69027,6
"521",69027,6
"522",40146,9
"523",33698,6
"524",44279,3
"525",35307,5
"526",35307,5
"527",35307,5
"528",35307,5
"529",89272,8
"530",47825,5
"531",2294,5
"532",35059,5
"533",35059,5
"534",35059,5
"535",35059,5
"536",23520,5
"537",23520,5
"538",23520,5
"539",23662,5
"540",23662,5
"541",23662,5
"542",23662,5
"543",23662,5
"544",28700,5
"545",28700,5
"546",37233,5
"547",37233,5
"548",37233,5
"549",53069,6
"550",53069,6
"551",53069,6
"552",53069,6
"553",41456,9
"554",41456,9
"555",41456,9
"556",41456,9
"557",18770,7
"558",18770,7
"559",18770,7
"560",18770,7
"561",18770,7
"562",20169,3
"563",20169,3
"564",20169,3
"565",20169,3
"566",8608,4
"567",8608,4
"568",26046,8
"569",26046,8
"570",26046,8
"571",26046,8
"572",26046,8
"573",32978,4
"574",32978,4
"575",32978,4
"576",32978,4
"577",32978,4
"578",52347,5
"579",47844,6
"580",88978,4
"581",88978,4
"582",88978,4
"583",88978,4
"584",88978,4
"585",86038,9
"586",86038,9
"587",81750,5
"588",81750,5
"589",16739,6
"590",18409,6
"591",57943,5
"592",57943,5
"593",17394,8
"594",17394,8
"595",17394,8
"596",17394,8
"597",28591,7
"598",71049,6
"599",71049,6
"600",71049,6
"601",47481,7
"602",93158,5
"603",76864,3
"604",54584,5
"605",62830,6
"606",62830,6
"607",100299,5
"608",13761,5
"609",32410,5
"610",32410,5
"611",32410,5
"612",32410,5
"613",32410,5
"614",32410,5
"615",38265,6
"616",24837,5
"617",14527,6
"618",40595,6
"619",40595,6
"620",97088,7
"621",97088,7
"622",17468,6
"623",17468,6
"624",17468,6
"625",17468,6
"626",17468,6
"627",17468,6
"628",71195,6
"629",71195,6
"630",71195,6
"631",97886,6
"632",97886,6
"633",97886,6
"634",97886,6
"635",97886,6
"636",97886,6
"637",97886,6
"638",27687,5
"639",27687,5
"640",4473,5
"641",5701,7
"642",14758,8
"643",14758,8
"644",14758,8
"645",14758,8
"646",84177,5
"647",84177,5
"648",84177,5
"649",41657,5
"650",77177,4
"651",77177,4
"652",70339,5
"653",70339,5
"654",70339,5
"655",62621,6
"656",62621,6
"657",62621,6
"658",99625,5
"659",61991,5
"660",61991,5
"661",92740,5
"662",42036,5
"663",42036,5
"664",42036,5
"665",42036,5
"666",42036,5
"667",58909,5
"668",58909,5
"669",26363,8
"670",26363,8
"671",44720,5
"672",44720,5
"673",44720,5
"674",44720,5
"675",93851,5
"676",24155,5
"677",88670,7
"678",88670,7
"679",9672,5
"680",9672,5
"681",72184,7
"682",31951,5
"683",21896,5
"684",84420,8
"685",97047,9
"686",8192,5
"687",8192,5
"688",8192,5
"689",27752,5
"690",85866,7
"691",61177,5
"692",61177,5
"693",61177,5
"694",61177,5
"695",76541,5
"696",1757,5
"697",61713,8
"698",61713,8
"699",25337,5
"700",25126,5
"701",49126,6
"702",49126,6
"703",17011,4
"704",17011,4
"705",17011,4
"706",17011,4
"707",84892,6
"708",84892,6
"709",84892,6
"710",82144,8
"711",82144,8
"712",82144,8
"713",65354,8
"714",65354,8
"715",14594,6
"716",14594,6
"717",14594,6
"718",14594,6
"719",14594,6
"720",14594,6
"721",14386,5
"722",14386,5
"723",14386,5
"724",17756,4
"725",17756,4
"726",81937,5
"727",81937,5
"728",81937,5
"729",53317,6
"730",70451,3
"731",83805,3
"732",29461,5
"733",29461,5
"734",32418,6
"735",49331,7
"736",35577,8
"737",46488,8
"738",46488,8
"739",86073,5
"740",86073,5
"741",86073,5
"742",78618,6
"743",57227,7
"744",46046,8
"745",99702,5
"746",99702,5
"747",34846,5
"748",34846,5
"749",34846,5
"750",34846,5
"751",34846,5
"752",66507,5
"753",22543,7
"754",22543,7
"755",22543,7
"756",29258,4
"757",29258,4
"758",29258,4
"759",54916,5
"760",54916,5
"761",54916,5
"762",54916,5
"763",54916,5
"764",35381,5
"765",35724,5
"766",35724,5
"767",35724,5
"768",35724,5
"769",35724,5
"770",35724,5
"771",378,3
"772",378,3
"773",17240,4
"774",15644,4
"775",93755,5
"776",61426,5
"777",46664,7
"778",75717,7
"779",32529,6
"780",32529,6
"781",14419,4
"782",11063,7
"783",77654,7
"784",77654,7
"785",67928,8
"786",33018,6
"787",62139,6
"788",62139,6
"789",62139,6
"790",42264,6
"791",42264,6
"792",42264,6
"793",93699,8
"794",93699,8
"795",50559,7
"796",63567,4
"797",63567,4
"798",63567,4
"799",63567,4
"800",74561,5
"801",74561,5
"802",42711,4
"803",42711,4
"804",42711,4
"805",73132,5
"806",47706,4
"807",72021,3
"808",79694,4
"809",52699,7
"810",57759,5
"811",61778,6
"812",93767,4
"813",93767,4
"814",67137,4
"815",13730,6
"816",13730,6
"817",13730,6
"818",40914,7
"819",33066,5
"820",38029,8
"821",38029,8
"822",54350,3
"823",64837,6
"824",66920,4
"825",66920,4
"826",60074,7
"827",60074,7
"828",18624,9
"829",18624,9
"830",45395,6
"831",24153,5
"832",26937,4
"833",26937,4
"834",26937,4
"835",77918,2
"836",22963,5
"837",36657,7
"838",36657,7
"839",36657,7
"840",36657,7
"841",9521,5
"842",84962,5
"843",84962,5
"844",84503,6
"845",77227,6
"846",5378,6
"847",68552,7
"848",68552,7
"849",68552,7
"850",25608,4
"851",91909,8
"852",91909,8
"853",46993,6
"854",86678,7
"855",13314,7
"856",13314,7
"857",13314,7
"858",16563,6
"859",100344,8
"860",49060,5
"861",49060,5
"862",88444,5
"863",26955,5
"864",26955,5
"865",26955,5
"866",26955,5
"867",26955,5
"868",80326,4
"869",90745,6
"870",90745,6
"871",33987,6
"872",20842,5
"873",20842,5
"874",75573,6
"875",67995,5
"876",67995,5
"877",38182,6
"878",38182,6
"879",38182,6
"880",38182,6
"881",77255,7
"882",77255,7
"883",77255,7
"884",77255,7
"885",77255,7
"886",45265,6
"887",19465,5
"888",69101,5
"889",79331,4
"890",4672,7
"891",4672,7
"892",33894,5
"893",81570,6
"894",81570,6
"895",81570,6
"896",81570,6
"897",15015,4
"898",89084,7
"899",89084,7
"900",88341,5
"901",88341,5
"902",36544,5
"903",62416,5
"904",11655,4
"905",11655,4
"906",11655,4
"907",11655,4
"908",11655,4
"909",11655,4
"910",74760,5
"911",74760,5
"912",19162,6
"913",19162,6
"914",63119,6
"915",53290,5
"916",53290,5
"917",100257,7
"918",100257,7
"919",100257,7
"920",100257,7
"921",100257,7
"922",100257,7
"923",75307,5
"924",37551,6
"925",94081,6
"926",26415,5
"927",36002,4
"928",36002,4
"929",36002,4
"930",36002,4
"931",10322,7
"932",24457,6
"933",67528,8
"934",67528,8
"935",24945,6
"936",42998,5
"937",42998,5
"938",42998,5
"939",64915,5
"940",64915,5
"941",101898,6
"942",37240,8
"943",20663,5
"944",22149,4
"945",73531,5
"946",73531,5
"947",73531,5
"948",73531,5
"949",21545,7
"950",82044,5
"951",82044,5
"952",82044,5
"953",82044,5
"954",8106,4
"955",8106,4
"956",8106,4
"957",8106,4
"958",48673,6
"959",65207,7
"960",96771,5
"961",96771,5
"962",30883,5
"963",74032,5
"964",74032,5
"965",9226,4
"966",9226,4
"967",24802,5
"968",24802,5
"969",17038,7
"970",17038,7
"971",17038,7
"972",17038,7
"973",65830,6
"974",65830,6
"975",65830,6
"976",56832,6
"977",56832,6
"978",76612,3
"979",76612,3
"980",69175,6
"981",69175,6
"982",69175,6
"983",69175,6
"984",69175,6
"985",12726,6
"986",50543,5
"987",61416,5
"988",53395,7
"989",53395,7
"990",53395,7
"991",53395,7
"992",53395,7
"993",53395,7
"994",53395,7
"995",37153,3
"996",79135,8
"997",47398,4
"998",12484,4
"999",60172,4
"1000",60172,4
"1001",49578,3
"1002",49578,3
"1003",42495,7
"1004",42495,7
"1005",42495,7
"1006",42495,7
"1007",42495,7
"1008",99890,4
"1009",99890,4
"1010",51004,8
"1011",58540,4
"1012",58540,4
"1013",69442,6
"1014",69442,6
"1015",69442,6
"1016",86168,7
"1017",94812,7
"1018",7224,5
"1019",7224,5
"1020",7224,5
"1021",7224,5
"1022",52754,5
"1023",52754,5
"1024",52754,5
"1025",52754,5
"1026",56352,5
"1027",56352,5
"1028",63550,8
"1029",93971,7
"1030",46533,7
"1031",11309,3
"1032",64261,5
"1033",64261,5
"1034",82267,6
"1035",82267,6
"1036",82267,6
"1037",88014,7
"1038",574,5
"1039",26917,4
"1040",26917,4
"1041",26917,4
"1042",26917,4
"1043",45166,6
"1044",45166,6
"1045",17410,5
"1046",17410,5
"1047",17410,5
"1048",17410,5
"1049",17410,5
"1050",47214,5
"1051",85289,5
"1052",85289,5
"1053",85289,5
"1054",65996,5
"1055",65996,5
"1056",38283,7
"1057",38283,7
"1058",38283,7
"1059",38283,7
"1060",46865,10
"1061",62089,6
"1062",62089,6
"1063",41890,5
"1064",41890,5
"1065",27784,6
"1066",25368,6
"1067",25368,6
"1068",25368,6
"1069",25368,6
"1070",56589,5
"1071",56589,5
"1072",56589,5
"1073",19638,7
"1074",19638,7
"1075",12955,4
"1076",95409,6
"1077",79756,7
"1078",17079,6
"1079",17079,6
"1080",4648,6
"1081",4648,6
"1082",48851,4
"1083",48851,4
"1084",48851,4
"1085",48851,4
"1086",48851,4
"1087",48851,4
"1088",83866,6
"1089",83866,6
"1090",13112,7
"1091",13112,7
"1092",17352,2
"1093",17352,2
"1094",17352,2
"1095",17352,2
"1096",17352,2
"1097",35759,2
"1098",20734,3
"1099",20734,3
"1100",20734,3
"1101",28867,3
"1102",28867,3
"1103",12394,5
"1104",17783,4
"1105",44084,4
"1106",7468,7
"1107",7468,7
"1108",44498,6
"1109",42551,8
"1110",91438,6
"1111",44333,6
"1112",100790,6
"1113",20016,7
"1114",57022,8
"1115",57022,8
"1116",57022,8
"1117",57022,8
"1118",57022,8
"1119",79081,4
"1120",79081,4
"1121",47833,5
"1122",47833,5
"1123",47833,5
"1124",88222,6
"1125",88222,6
"1126",88222,6
"1127",72900,5
"1128",49344,5
"1129",49344,5
"1130",30736,6
"1131",67340,5
"1132",67340,5
"1133",8562,7
"1134",8562,7
"1135",8562,7
"1136",8562,7
"1137",8562,7
"1138",8562,7
"1139",33239,6
"1140",39329,5
"1141",39329,5
"1142",39329,5
"1143",39329,5
"1144",29333,5
"1145",72908,7
"1146",9842,5
"1147",9842,5
"1148",92003,5
"1149",92003,5
"1150",46354,8
"1151",35051,8
"1152",26447,6
"1153",52501,5
"1154",11268,5
"1155",21824,7
"1156",97671,5
"1157",97671,5
"1158",97671,5
"1159",55137,9
"1160",55137,9
"1161",24480,8
"1162",24480,8
"1163",12844,5
"1164",33827,5
"1165",64930,7
"1166",64208,6
"1167",64208,6
"1168",64208,6
"1169",77422,4
"1170",23860,5
"1171",23860,5
"1172",23860,5
"1173",24548,2
"1174",89497,6
"1175",89497,6
"1176",51789,5
"1177",25164,7
"1178",25164,7
"1179",44635,5
"1180",35153,8
"1181",67710,5
"1182",10131,6
"1183",10131,6
"1184",10131,6
"1185",10131,6
"1186",10131,6
"1187",81304,5
"1188",43458,5
"1189",78017,5
"1190",99549,7
"1191",99549,7
"1192",75997,5
"1193",75997,5
"1194",75997,5
"1195",75997,5
"1196",55878,7
"1197",48606,6
"1198",48606,6
"1199",98270,5
"1200",16575,4
"1201",16575,4
"1202",16575,4
"1203",38820,6
"1204",94840,7
"1205",21331,6
"1206",74020,4
"1207",24634,5
"1208",26632,6
"1209",93795,4
"1210",86626,6
"1211",88549,5
"1212",78476,6
"1213",78476,6
"1214",84526,6
"1215",84526,6
"1216",84526,6
"1217",95295,7
"1218",5080,7
"1219",5080,7
"1220",5080,7
"1221",15294,5
"1222",40386,2
"1223",82156,5
"1224",82156,5
"1225",82156,5
"1226",60301,5
"1227",60301,5
"1228",60301,5
"1229",60301,5
"1230",25743,5
"1231",25743,5
"1232",69671,4
"1233",37128,5
"1234",72300,3
"1235",72300,3
"1236",72300,3
"1237",73450,5
"1238",8137,5
"1239",8137,5
"1240",23201,6
"1241",23201,6
"1242",23201,6
"1243",80766,7
"1244",80766,7
"1245",80766,7
"1246",70283,5
"1247",70283,5
"1248",65703,6
"1249",30115,6
"1250",26414,5
"1251",26414,5
"1252",26414,5
"1253",6367,5
"1254",6367,5
"1255",56403,6
"1256",74218,9
"1257",74218,9
"1258",36840,5
"1259",100794,5
"1260",100794,5
"1261",2087,8
"1262",2087,8
"1263",62521,6
"1264",27163,5
"1265",38522,8
"1266",38522,8
"1267",6258,7
"1268",25447,6
"1269",25447,6
"1270",25447,6
"1271",25447,6
"1272",25447,6
"1273",14137,4
"1274",16901,4
"1275",16901,4
"1276",75039,6
"1277",75039,6
"1278",75039,6
"1279",40888,5
"1280",17368,5
"1281",9812,5
"1282",9812,5
"1283",9812,5
"1284",76452,3
"1285",63771,4
"1286",63771,4
"1287",68495,9
"1288",93119,6
"1289",93119,6
"1290",93119,6
"1291",8030,3
"1292",43290,5
"1293",80630,6
"1294",42848,3
"1295",808,5
"1296",808,5
"1297",83520,4
"1298",83520,4
"1299",83520,4
"1300",83520,4
"1301",83520,4
"1302",83520,4
"1303",58254,5
"1304",37471,4
"1305",37471,4
"1306",42744,7
"1307",42744,7
"1308",42744,7
"1309",42744,7
"1310",42744,7
"1311",62653,4
"1312",98216,6
"1313",76816,4
"1314",19555,4
"1315",19555,4
"1316",26138,5
"1317",10143,7
"1318",35552,6
"1319",35552,6
"1320",91311,4
"1321",18105,5
"1322",18105,5
"1323",67804,3
"1324",67804,3
"1325",67804,3
"1326",67804,3
"1327",67804,3
"1328",3940,5
"1329",11511,8
"1330",11511,8
"1331",44285,6
"1332",96034,8
"1333",47049,5
"1334",47049,5
"1335",47049,5
"1336",12252,5
"1337",97582,6
"1338",97582,6
"1339",59908,5
"1340",78082,5
"1341",78082,5
"1342",78082,5
"1343",24969,6
"1344",24969,6
"1345",24969,6
"1346",24969,6
"1347",100949,5
"1348",7439,4
"1349",41768,5
"1350",41768,5
"1351",41768,5
"1352",41768,5
"1353",41768,5
"1354",35661,4
"1355",13027,4
"1356",28455,4
"1357",12341,5
"1358",12341,5
"1359",4470,7
"1360",74591,5
"1361",22820,8
"1362",81029,4
"1363",81029,4
"1364",81029,4
"1365",56232,4
"1366",60744,5
"1367",60744,5
"1368",80461,7
"1369",80461,7
"1370",80461,7
"1371",80461,7
"1372",59024,6
"1373",45070,7
"1374",22285,6
"1375",32340,4
"1376",32340,4
"1377",74329,6
"1378",98238,5
"1379",38649,6
"1380",101225,8
"1381",101225,8
"1382",39311,6
"1383",39311,6
"1384",39311,6
"1385",48600,6
"1386",48600,6
"1387",48600,6
"1388",11936,4
"1389",84256,6
"1390",84256,6
"1391",42480,4
"1392",12662,4
"1393",36173,5
"1394",36173,5
"1395",76015,7
"1396",19041,7
"1397",19041,7
"1398",561,8
"1399",561,8
"1400",561,8
"1401",561,8
"1402",50902,5
"1403",37728,3
"1404",37728,3
"1405",37728,3
"1406",37728,3
"1407",89994,5
"1408",93128,5
"1409",93128,5
"1410",93128,5
"1411",61337,5
"1412",61337,5
"1413",61337,5
"1414",28726,6
"1415",28726,6
"1416",28726,6
"1417",56929,5
"1418",56929,5
"1419",56929,5
"1420",56929,5
"1421",21913,5
"1422",21913,5
"1423",81707,9
"1424",75260,7
"1425",88025,4
"1426",88025,4
"1427",33719,5
"1428",33719,5
"1429",33719,5
"1430",60815,3
"1431",54937,6
"1432",54937,6
"1433",42750,5
"1434",42750,5
"1435",80965,6
"1436",80965,6
"1437",57739,6
"1438",85319,6
"1439",85319,6
"1440",85319,6
"1441",18412,5
"1442",14619,1
"1443",14619,1
"1444",72379,6
"1445",72379,6
"1446",56799,5
"1447",7297,4
"1448",30936,5
"1449",30936,5
"1450",58524,4
"1451",75900,6
"1452",65867,6
"1453",88439,5
"1454",88439,5
"1455",88439,5
"1456",88439,5
"1457",88439,5
"1458",78083,5
"1459",78083,5
"1460",78083,5
"1461",86096,3
"1462",86096,3
"1463",72685,5
"1464",49392,3
"1465",49392,3
"1466",49392,3
"1467",26442,3
"1468",26442,3
"1469",26442,3
"1470",7469,2
"1471",38051,6
"1472",38051,6
"1473",77789,6
"1474",20303,6
"1475",24382,8
"1476",24382,8
"1477",24382,8
"1478",45853,6
"1479",45853,6
"1480",5385,5
"1481",5385,5
"1482",5385,5
"1483",92213,5
"1484",19146,5
"1485",19146,5
"1486",19146,5
"1487",79000,5
"1488",48134,3
"1489",61781,8
"1490",60075,2
"1491",60075,2
"1492",60075,2
"1493",41488,8
"1494",41488,8
"1495",41488,8
"1496",12830,5
"1497",25621,4
"1498",25621,4
"1499",60627,3
"1500",60627,3
"1501",18758,5
"1502",21741,5
"1503",21741,5
"1504",21741,5
"1505",21741,5
"1506",38929,8
"1507",70753,4
"1508",97337,5
"1509",66348,5
"1510",66348,5
"1511",66348,5
"1512",66348,5
"1513",66348,5
"1514",66348,5
"1515",66348,5
"1516",74302,9
"1517",81742,6
"1518",24057,6
"1519",4614,5
"1520",9597,6
"1521",95034,8
"1522",95034,8
"1523",20071,7
"1524",20071,7
"1525",68157,5
"1526",68157,5
"1527",28838,6
"1528",28838,6
"1529",50374,4
"1530",26750,5
"1531",26750,5
"1532",26750,5
"1533",34624,5
"1534",17064,6
"1535",27053,8
"1536",79008,9
"1537",18069,5
"1538",18069,5
"1539",40442,5
"1540",46158,4
"1541",43327,6
"1542",87154,5
"1543",35744,6
"1544",84980,6
"1545",10796,5
"1546",10796,5
"1547",10796,5
"1548",6870,4
"1549",6870,4
"1550",6870,4
"1551",14789,4
"1552",25067,5
"1553",25067,5
"1554",25067,5
"1555",25067,5
"1556",25067,5
"1557",54861,5
"1558",35708,5
"1559",35708,5
"1560",39532,5
"1561",39532,5
"1562",39532,5
"1563",16731,5
"1564",23870,5
"1565",20108,5
"1566",55164,5
"1567",60894,5
"1568",60894,5
"1569",60894,5
"1570",28485,5
"1571",28485,5
"1572",79709,5
"1573",20846,6
"1574",48769,6
"1575",15986,5
"1576",15986,5
"1577",15986,5
"1578",90250,8
"1579",48990,8
"1580",22591,5
"1581",22591,5
"1582",22591,5
"1583",22591,5
"1584",22591,5
"1585",22591,5
"1586",22591,5
"1587",27596,5
"1588",27596,5
"1589",55575,6
"1590",7135,4
"1591",23051,6
"1592",39569,6
"1593",35470,5
"1594",35470,5
"1595",54433,5
"1596",47416,6
"1597",14506,6
"1598",14506,6
"1599",11700,4
"1600",11700,4
"1601",88395,6
"1602",8410,6
"1603",72549,6
"1604",72549,6
"1605",6504,7
"1606",89582,9
"1607",35967,6
"1608",13812,7
"1609",89134,8
"1610",54740,6
"1611",54740,6
"1612",54740,6
"1613",54740,6
"1614",76060,4
"1615",76060,4
"1616",47135,5
"1617",47135,5
"1618",53088,6
"1619",53088,6
"1620",53088,6
"1621",22869,4
"1622",23455,5
"1623",23455,5
"1624",23455,5
"1625",23455,5
"1626",31551,5
"1627",14846,6
"1628",56550,5
"1629",56550,5
"1630",56550,5
"1631",56550,5
"1632",34695,5
"1633",67024,6
"1634",66186,7
"1635",66186,7
"1636",66186,7
"1637",78572,8
"1638",78572,8
"1639",33968,6
"1640",33968,6
"1641",33968,6
"1642",33968,6
"1643",64023,5
"1644",64023,5
"1645",64023,5
"1646",64023,5
"1647",72577,5
"1648",72577,5
"1649",18583,4
"1650",18583,4
"1651",68711,7
"1652",100256,7
"1653",86960,9
"1654",61986,5
"1655",61986,5
"1656",61986,5
"1657",32713,4
"1658",14939,4
"1659",14939,4
"1660",14939,4
"1661",30039,3
"1662",30039,3
"1663",30039,3
"1664",22171,7
"1665",22171,7
