"","unid","num_score"
"289",40146,5
"290",35307,1
"291",35307,1
"292",35307,1
"293",35307,1
"294",89272,5
"295",2294,6
"296",23662,3
"297",23662,3
"298",23662,3
"299",23662,3
"300",23662,3
"301",37233,4
"302",37233,4
"303",37233,4
"304",41456,6
"305",41456,6
"306",41456,6
"307",41456,6
"308",18770,3
"309",18770,3
"310",18770,3
"311",18770,3
"312",18770,3
"313",26046,4
"314",26046,4
"315",26046,4
"316",26046,4
"317",26046,4
"318",32978,4
"319",32978,4
"320",32978,4
"321",32978,4
"322",32978,4
"323",47844,2
"324",88978,4
"325",88978,4
"326",88978,4
"327",88978,4
"328",88978,4
"329",86038,6
"330",86038,6
"331",81750,3
"332",81750,3
"333",16739,4
"334",17394,5
"335",17394,5
"336",17394,5
"337",17394,5
"338",28591,4
"339",47481,4
"340",62830,3
"341",62830,3
"342",100299,3
"343",13761,2
"344",32410,2
"345",32410,2
"346",32410,2
"347",32410,2
"348",32410,2
"349",32410,2
"350",24837,4
"351",14527,4
"352",97088,2
"353",97088,2
"354",17468,3
"355",17468,3
"356",17468,3
"357",17468,3
"358",17468,3
"359",17468,3
"360",97886,3
"361",97886,3
"362",97886,3
"363",97886,3
"364",97886,3
"365",97886,3
"366",97886,3
"367",27687,3
"368",27687,3
"369",4473,3
"370",14758,6
"371",14758,6
"372",14758,6
"373",14758,6
"374",84177,4
"375",84177,4
"376",84177,4
"377",41657,6
"378",99625,3
"379",61991,3
"380",61991,3
"381",92740,2
"382",42036,4
"383",42036,4
"384",42036,4
"385",42036,4
"386",42036,4
"387",58909,3
"388",58909,3
"389",26363,4
"390",26363,4
"391",44720,4
"392",44720,4
"393",44720,4
"394",44720,4
"395",24155,5
"396",88670,4
"397",88670,4
"398",9672,4
"399",9672,4
"400",31951,5
"401",21896,3
"402",84420,1
"403",97047,7
"404",85866,5
"405",76541,5
"406",1757,3
"407",49126,6
"408",49126,6
"409",17011,3
"410",17011,3
"411",17011,3
"412",17011,3
"413",84892,3
"414",84892,3
"415",84892,3
"416",82144,5
"417",82144,5
"418",82144,5
"419",65354,4
"420",65354,4
"421",14594,2
"422",14594,2
"423",14594,2
"424",14594,2
"425",14594,2
"426",14594,2
"427",14386,2
"428",14386,2
"429",14386,2
"430",81937,4
"431",81937,4
"432",81937,4
"433",53317,5
"434",29461,4
"435",29461,4
"436",49331,4
"437",35577,5
"438",46488,2
"439",46488,2
"440",78618,3
"441",57227,4
"442",99702,3
"443",99702,3
"444",34846,5
"445",34846,5
"446",34846,5
"447",34846,5
"448",34846,5
"449",66507,2
"450",22543,6
"451",22543,6
"452",22543,6
"453",29258,2
"454",29258,2
"455",29258,2
"456",54916,2
"457",54916,2
"458",54916,2
"459",54916,2
"460",54916,2
"461",35724,1
"462",35724,1
"463",35724,1
"464",35724,1
"465",35724,1
"466",35724,1
"467",17240,6
"468",46664,4
"469",75717,5
"470",32529,5
"471",32529,5
"472",14419,2
"473",11063,3
"474",67928,2
"475",42264,4
"476",42264,4
"477",42264,4
"478",93699,5
"479",93699,5
"480",50559,6
"481",63567,2
"482",63567,2
"483",63567,2
"484",63567,2
"485",74561,4
"486",74561,4
"487",52699,3
"488",57759,4
"489",61778,5
"490",93767,4
"491",93767,4
"492",40914,5
"493",38029,5
"494",38029,5
"495",60074,3
"496",60074,3
"497",24153,4
"498",77918,3
"499",22963,1
"500",84503,7
"501",77227,1
"502",5378,6
"503",68552,5
"504",68552,5
"505",68552,5
"506",25608,3
"507",91909,6
"508",91909,6
"509",46993,7
"510",25994,5
"511",100344,3
"512",49060,2
"513",49060,2
"514",88444,4
"515",26955,2
"516",26955,2
"517",26955,2
"518",26955,2
"519",26955,2
"520",90745,2
"521",90745,2
"522",33987,5
"523",20842,3
"524",20842,3
"525",75573,3
"526",38182,4
"527",38182,4
"528",38182,4
"529",38182,4
"530",77255,4
"531",77255,4
"532",77255,4
"533",77255,4
"534",77255,4
"535",45265,4
"536",69101,3
"537",89084,4
"538",89084,4
"539",62416,4
"540",63119,4
"541",53290,3
"542",53290,3
"543",100257,4
"544",100257,4
"545",100257,4
"546",100257,4
"547",100257,4
"548",100257,4
"549",94081,3
"550",10322,4
"551",64915,3
"552",64915,3
"553",101898,1
"554",20663,2
"555",21545,7
"556",82044,4
"557",82044,4
"558",82044,4
"559",82044,4
"560",48673,5
"561",65207,4
"562",96771,2
"563",96771,2
"564",24802,3
"565",24802,3
"566",17038,3
"567",17038,3
"568",17038,3
"569",17038,3
"570",65830,2
"571",65830,2
"572",65830,2
"573",69175,8
"574",69175,8
"575",69175,8
"576",69175,8
"577",69175,8
"578",12726,1
"579",50543,3
"580",61416,4
"581",53395,2
"582",53395,2
"583",53395,2
"584",53395,2
"585",53395,2
"586",53395,2
"587",53395,2
"588",79135,6
"589",99890,3
"590",99890,3
"591",51004,6
"592",58540,3
"593",58540,3
"594",69442,6
"595",69442,6
"596",69442,6
"597",94812,3
"598",7224,5
"599",7224,5
"600",7224,5
"601",7224,5
"602",63550,5
"603",88014,4
"604",574,3
"605",26917,4
"606",26917,4
"607",26917,4
"608",26917,4
"609",45166,3
"610",45166,3
"611",17410,4
"612",17410,4
"613",17410,4
"614",17410,4
"615",17410,4
"616",85289,3
"617",85289,3
"618",85289,3
"619",38283,4
"620",38283,4
"621",38283,4
"622",38283,4
"623",46865,8
"624",62089,4
"625",62089,4
"626",27784,4
"627",95409,2
"628",4648,1
"629",4648,1
"630",48851,4
"631",48851,4
"632",48851,4
"633",48851,4
"634",48851,4
"635",48851,4
"636",83866,2
"637",83866,2
"638",17352,2
"639",17352,2
"640",17352,2
"641",17352,2
"642",17352,2
"643",35759,4
"644",20734,3
"645",20734,3
"646",20734,3
"647",28867,5
"648",28867,5
"649",44084,4
"650",7468,3
"651",7468,3
"652",42551,4
"653",91438,4
"654",100790,3
"655",57022,2
"656",57022,2
"657",57022,2
"658",57022,2
"659",57022,2
"660",79081,2
"661",79081,2
"662",47833,3
"663",47833,3
"664",47833,3
"665",45329,3
"666",72900,3
"667",49344,8
"668",49344,8
"669",30736,4
"670",67340,5
"671",67340,5
"672",33239,2
"673",39329,3
"674",39329,3
"675",39329,3
"676",39329,3
"677",72908,4
"678",46354,3
"679",11268,1
"680",21824,5
"681",97671,4
"682",97671,4
"683",97671,4
"684",55137,3
"685",55137,3
"686",24480,3
"687",24480,3
"688",64930,3
"689",23860,4
"690",23860,4
"691",23860,4
"692",24548,1
"693",89497,3
"694",89497,3
"695",51789,3
"696",67710,3
"697",81304,3
"698",43458,3
"699",99549,4
"700",99549,4
"701",94840,5
"702",24634,3
"703",26632,3
"704",86626,4
"705",88549,4
"706",78476,4
"707",78476,4
"708",84526,6
"709",84526,6
"710",84526,6
"711",95295,5
"712",5080,3
"713",5080,3
"714",5080,3
"715",40386,4
"716",60301,2
"717",60301,2
"718",60301,2
"719",60301,2
"720",25743,4
"721",25743,4
"722",69671,4
"723",37128,4
"724",73450,3
"725",8137,2
"726",8137,2
"727",23201,2
"728",23201,2
"729",23201,2
"730",80766,4
"731",80766,4
"732",80766,4
"733",56403,4
"734",74218,5
"735",74218,5
"736",36840,4
"737",100794,2
"738",100794,2
"739",2087,4
"740",2087,4
"741",62521,4
"742",38522,4
"743",38522,4
"744",6258,3
"745",25447,5
"746",25447,5
"747",25447,5
"748",25447,5
"749",25447,5
"750",14137,4
"751",17368,3
"752",9812,5
"753",9812,5
"754",9812,5
"755",76452,3
"756",68495,6
"757",93119,5
"758",93119,5
"759",93119,5
"760",43290,2
"761",83520,3
"762",83520,3
"763",83520,3
"764",83520,3
"765",83520,3
"766",83520,3
"767",58254,5
"768",42744,5
"769",42744,5
"770",42744,5
"771",42744,5
"772",42744,5
"773",62653,3
"774",98216,4
"775",19555,4
"776",19555,4
"777",10143,3
"778",35552,4
"779",35552,4
"780",67804,4
"781",67804,4
"782",67804,4
"783",67804,4
"784",67804,4
"785",11511,3
"786",11511,3
"787",44285,4
"788",96034,4
"789",47049,1
"790",47049,1
"791",47049,1
"792",97582,5
"793",97582,5
"794",50331,4
"795",59908,3
"796",78082,4
"797",78082,4
"798",78082,4
"799",24969,3
"800",24969,3
"801",24969,3
"802",24969,3
"803",100949,4
"804",41768,2
"805",41768,2
"806",41768,2
"807",41768,2
"808",41768,2
"809",35661,2
"810",13027,2
"811",4470,5
"812",74591,2
"813",81029,5
"814",81029,5
"815",81029,5
"816",56232,2
"817",80461,4
"818",80461,4
"819",80461,4
"820",80461,4
"821",59024,3
"822",45070,3
"823",22285,3
"824",32340,5
"825",32340,5
"826",98238,2
"827",101225,4
"828",101225,4
"829",39311,3
"830",39311,3
"831",39311,3
"832",11936,4
"833",19041,4
"834",19041,4
"835",561,2
"836",561,2
"837",561,2
"838",561,2
"839",89994,4
"840",93128,3
"841",93128,3
"842",93128,3
"843",28726,2
"844",28726,2
"845",28726,2
"846",21913,2
"847",21913,2
"848",81707,6
"849",88025,5
"850",88025,5
"851",54937,5
"852",54937,5
"853",80965,3
"854",80965,3
"855",85319,4
"856",85319,4
"857",85319,4
"858",18412,4
"859",72379,3
"860",72379,3
"861",56799,5
"862",7297,3
"863",30936,3
"864",30936,3
"865",58524,3
"866",65867,3
"867",88439,3
"868",88439,3
"869",88439,3
"870",88439,3
"871",88439,3
"872",78083,4
"873",78083,4
"874",78083,4
"875",86096,2
"876",86096,2
"877",72685,4
"878",7469,1
"879",38051,4
"880",38051,4
"881",77789,6
"882",20303,3
"883",5385,2
"884",5385,2
"885",5385,2
"886",19146,4
"887",19146,4
"888",19146,4
"889",79000,2
"890",48134,1
"891",61781,4
"892",60075,3
"893",60075,3
"894",60075,3
"895",41488,6
"896",41488,6
"897",41488,6
"898",12830,3
"899",25621,3
"900",25621,3
"901",60627,4
"902",60627,4
"903",21741,4
"904",21741,4
"905",21741,4
"906",21741,4
"907",38929,2
"908",74302,5
"909",81742,3
"910",4614,2
"911",95034,6
"912",95034,6
"913",68157,2
"914",68157,2
"915",28838,5
"916",28838,5
"917",50374,5
"918",26750,3
"919",26750,3
"920",26750,3
"921",34624,1
"922",17064,4
"923",27053,4
"924",79008,5
"925",40442,4
"926",46158,3
"927",87154,4
"928",84980,2
"929",6870,4
"930",6870,4
"931",6870,4
"932",14789,3
"933",54861,2
"934",39532,3
"935",39532,3
"936",39532,3
"937",23870,3
"938",20108,4
"939",55164,3
"940",60894,3
"941",60894,3
"942",60894,3
"943",20846,2
"944",48769,4
"945",90250,2
"946",48990,3
"947",22591,2
"948",22591,2
"949",22591,2
"950",22591,2
"951",22591,2
"952",22591,2
"953",22591,2
"954",27596,4
"955",27596,4
"956",55575,3
"957",23051,2
"958",39569,4
"959",35470,1
"960",35470,1
"961",54433,3
"962",14506,3
"963",14506,3
"964",11700,1
"965",11700,1
"966",88395,4
"967",72549,4
"968",72549,4
"969",6504,4
"970",89134,5
"971",54740,4
"972",54740,4
"973",54740,4
"974",54740,4
"975",76060,3
"976",76060,3
"977",31551,4
"978",56550,4
"979",56550,4
"980",56550,4
"981",56550,4
"982",34695,7
"983",66186,5
"984",66186,5
"985",66186,5
"986",33968,3
"987",33968,3
"988",33968,3
"989",33968,3
"990",64023,4
"991",64023,4
"992",64023,4
"993",64023,4
"994",72577,3
"995",72577,3
"996",18583,3
"997",18583,3
"998",68711,3
"999",86960,6
"1000",61986,3
"1001",61986,3
"1002",61986,3
"1003",32713,4
"1004",30039,2
"1005",30039,2
"1006",30039,2
"1007",22171,5
"1008",22171,5
"1009",48123,5
"1010",57662,5
"1011",40278,6
"1012",48831,2
"1013",48831,2
"1014",48831,2
"1015",48831,2
"1016",48831,2
"1017",48831,2
"1018",48831,2
"1019",78210,1
"1020",11986,4
"1021",11986,4
"1022",11986,4
"1023",11986,4
"1024",11986,4
"1025",70714,7
"1026",46151,3
"1027",46151,3
"1028",46151,3
"1029",46151,3
"1030",46151,3
"1031",4246,2
"1032",9429,2
"1033",9429,2
"1034",9429,2
"1035",82120,5
"1036",82120,5
"1037",78713,5
"1038",78713,5
"1039",75103,5
"1040",75103,5
"1041",75103,5
"1042",56259,3
"1043",56259,3
"1044",56259,3
"1045",56259,3
"1046",23427,4
"1047",38559,4
"1048",60605,4
"1049",2565,4
"1050",48651,2
"1051",65682,3
"1052",65682,3
"1053",65682,3
"1054",52530,4
"1055",39991,7
"1056",39991,7
"1057",84220,4
"1058",22711,4
"1059",43647,2
"1060",37381,4
"1061",37381,4
"1062",10146,4
"1063",10146,4
"1064",10146,4
"1065",90744,2
"1066",70048,4
"1067",70048,4
"1068",85929,4
"1069",85929,4
"1070",8387,4
"1071",41749,5
"1072",41749,5
"1073",76830,6
"1074",63867,3
"1075",63867,3
"1076",94130,3
"1077",94130,3
"1078",27960,3
"1079",555,2
"1080",555,2
"1081",5055,1
"1082",5055,1
"1083",5055,1
"1084",5055,1
"1085",44296,3
"1086",79243,4
"1087",79243,4
"1088",31392,3
"1089",30058,3
"1090",95577,6
"1091",95577,6
"1092",63172,5
"1093",63172,5
"1094",21731,4
"1095",21731,4
"1096",53632,5
"1097",53632,5
"1098",79441,7
"1099",10962,4
"1100",71503,4
"1101",39367,6
"1102",16854,4
"1103",16854,4
"1104",56227,6
"1105",56227,6
"1106",9026,3
"1107",50491,3
"1108",43938,4
"1109",29712,4
"1110",29712,4
"1111",33990,6
"1112",66504,2
"1113",66504,2
"1114",66504,2
"1115",96136,3
"1116",51068,4
"1117",45239,4
"1118",45239,4
"1119",45239,4
"1120",92493,4
"1121",86327,6
"1122",49135,3
"1123",25389,2
"1124",59565,1
"1125",59565,1
"1126",9789,2
"1127",9789,2
"1128",9789,2
"1129",9789,2
"1130",41590,2
"1131",66479,5
"1132",66479,5
"1133",66479,5
"1134",50070,3
"1135",50070,3
"1136",44502,3
"1137",45553,2
"1138",63518,5
"1139",63518,5
"1140",63518,5
"1141",78431,4
"1142",78431,4
"1143",50257,2
"1144",41584,3
"1145",41584,3
"1146",58239,4
"1147",58239,4
"1148",58239,4
"1149",58239,4
"1150",58239,4
"1151",21630,5
"1152",40124,3
"1153",40124,3
"1154",40124,3
"1155",40124,3
"1156",40124,3
"1157",37036,3
"1158",94697,2
"1159",96000,6
"1160",1165,3
"1161",85429,3
"1162",85429,3
"1163",76963,6
"1164",76963,6
"1165",12912,4
"1166",12912,4
"1167",12912,4
"1168",12912,4
"1169",10114,4
"1170",19398,4
"1171",19398,4
"1172",86989,6
"1173",44529,5
"1174",33597,5
"1175",33597,5
"1176",33597,5
"1177",33597,5
"1178",34485,3
"1179",34485,3
"1180",19419,3
"1181",19419,3
"1182",99004,3
"1183",99004,3
"1184",17695,4
"1185",17695,4
"1186",17695,4
"1187",74593,4
"1188",74593,4
"1189",74593,4
"1190",22455,2
"1191",34311,6
"1192",98758,4
"1193",9765,4
"1194",9765,4
"1195",61480,5
"1196",61480,5
"1197",8693,1
"1198",94993,4
"1199",94993,4
"1200",42503,5
"1201",42503,5
"1202",29599,2
"1203",29599,2
"1204",95005,4
"1205",21840,2
"1206",34781,2
"1207",34781,2
"1208",53804,4
"1209",87427,8
"1210",87427,8
"1211",87427,8
"1212",87427,8
"1213",34831,5
"1214",84404,4
"1215",84404,4
"1216",84404,4
"1217",13869,4
"1218",13869,4
"1219",13869,4
"1220",86615,1
"1221",86615,1
"1222",50407,4
"1223",50407,4
"1224",50407,4
"1225",50407,4
"1226",50407,4
"1227",50407,4
"1228",16558,3
"1229",21146,2
"1230",21146,2
"1231",21146,2
"1232",35235,7
"1233",74382,5
"1234",74382,5
"1235",55186,4
"1236",55186,4
"1237",55186,4
"1238",89692,5
"1239",89692,5
"1240",21838,3
"1241",21838,3
"1242",21838,3
"1243",25709,2
"1244",37822,3
"1245",58887,3
"1246",52899,2
"1247",19571,1
"1248",19571,1
"1249",19571,1
"1250",19571,1
"1251",70531,2
"1252",70531,2
"1253",42050,4
"1254",62405,3
"1255",83498,2
"1256",83498,2
"1257",39330,3
"1258",39330,3
"1259",39330,3
"1260",39330,3
"1261",95894,5
"1262",95894,5
"1263",15738,4
"1264",16997,2
"1265",16997,2
"1266",17891,4
"1267",84218,6
"1268",84218,6
"1269",84218,6
"1270",84218,6
"1271",84218,6
"1272",68619,2
"1273",78126,5
"1274",43186,5
"1275",43186,5
"1276",43186,5
"1277",43186,5
"1278",43186,5
"1279",35722,5
"1280",66532,3
"1281",66532,3
"1282",56639,4
"1283",56639,4
"1284",54943,2
"1285",54943,2
"1286",54943,2
"1287",54943,2
"1288",81371,3
"1289",69725,5
"1290",66791,3
"1291",66791,3
"1292",57407,6
"1293",57407,6
"1294",57407,6
"1295",57407,6
"1296",64939,2
"1297",64939,2
"1298",64939,2
"1299",64939,2
"1300",64939,2
"1301",64939,2
"1302",19718,2
"1303",68995,3
"1304",10048,3
"1305",10048,3
"1306",77291,6
"1307",77291,6
"1308",78510,1
"1309",91598,2
"1310",91598,2
"1311",17397,4
"1312",17397,4
"1313",17397,4
"1314",17397,4
"1315",17397,4
"1316",72892,4
"1317",30183,3
"1318",10897,3
"1319",88415,4
"1320",64902,4
"1321",64902,4
"1322",40045,4
"1323",40045,4
"1324",44536,5
"1325",85116,3
"1326",85116,3
"1327",92339,1
"1328",92339,1
"1329",92339,1
"1330",92339,1
"1331",92339,1
"1332",50295,4
"1333",50295,4
"1334",78650,4
"1335",78650,4
"1336",92563,2
"1337",92563,2
"1338",92563,2
"1339",92563,2
"1340",92563,2
"1341",53572,3
"1342",53572,3
"1343",53572,3
"1344",14210,3
"1345",90295,5
"1346",90295,5
"1347",82342,3
"1348",82342,3
"1349",53219,4
"1350",53219,4
"1351",30088,4
"1352",77295,4
"1353",77295,4
"1354",77295,4
"1355",77295,4
"1356",29156,6
"1357",53516,6
"1358",53516,6
"1359",53516,6
"1360",52998,4
"1361",52998,4
"1362",52998,4
"1363",52998,4
"1364",22842,4
"1365",22842,4
"1366",22842,4
"1367",22842,4
"1368",74019,3
"1369",47656,4
"1370",47656,4
"1371",94114,1
"1372",88167,2
"1373",10709,3
"1374",10709,3
"1375",22072,3
"1376",43301,3
"1377",43301,3
"1378",59237,5
"1379",17727,3
"1380",78433,4
"1381",58644,5
"1382",58644,5
"1383",25851,3
"1384",76401,2
"1385",97679,4
"1386",97679,4
"1387",25472,2
"1388",25472,2
"1389",75868,1
"1390",53277,3
"1391",37895,3
"1392",37895,3
"1393",1974,3
"1394",95084,3
"1395",49142,2
"1396",85160,5
"1397",11840,1
"1398",11840,1
"1399",47818,4
"1400",47818,4
"1401",30531,5
"1402",60475,4
"1403",60475,4
"1404",34208,3
"1405",94813,3
"1406",85153,2
"1407",85153,2
"1408",85153,2
"1409",85153,2
"1410",85153,2
"1411",85153,2
"1412",49820,3
"1413",49820,3
"1414",82614,5
"1415",82614,5
"1416",10690,7
"1417",10690,7
"1418",48944,4
"1419",41481,3
"1420",89963,5
"1421",89963,5
"1422",60775,3
"1423",79860,2
"1424",32093,3
"1425",32093,3
"1426",31000,3
"1427",99544,6
"1428",34588,5
"1429",34329,3
"1430",27157,3
"1431",27157,3
"1432",67893,2
"1433",101097,3
"1434",52893,3
"1435",52893,3
"1436",52893,3
"1437",52893,3
"1438",42978,2
"1439",8954,3
"1440",8954,3
"1441",7059,2
"1442",7059,2
"1443",7059,2
"1444",43330,3
"1445",43330,3
"1446",43330,3
"1447",43330,3
"1448",14290,4
"1449",98038,4
"1450",45099,2
"1451",77609,3
"1452",91052,3
"1453",14077,4
"1454",14077,4
"1455",49837,3
"1456",49837,3
"1457",49837,3
"1458",54975,4
"1459",39904,9
"1460",26620,1
"1461",12080,3
"1462",85461,6
"1463",56058,4
"1464",20353,5
"1465",20353,5
"1466",60327,2
"1467",60327,2
"1468",60327,2
"1469",60327,2
"1470",13946,3
"1471",89984,1
"1472",58290,4
"1473",32586,3
"1474",32586,3
"1475",10042,2
"1476",11122,2
"1477",11122,2
"1478",84312,4
"1479",54511,2
"1480",19980,4
"1481",19980,4
"1482",74799,3
"1483",74799,3
"1484",74799,3
"1485",66214,5
"1486",52545,4
"1487",67394,6
"1488",67394,6
"1489",67394,6
"1490",89674,5
"1491",89674,5
"1492",89674,5
"1493",89674,5
"1494",89674,5
"1495",43894,2
"1496",43894,2
"1497",43894,2
"1498",43894,2
"1499",43894,2
"1500",28636,2
"1501",45390,3
"1502",45390,3
"1503",45390,3
"1504",11390,3
"1505",11390,3
"1506",76345,5
"1507",70036,5
"1508",61677,2
"1509",61677,2
"1510",61677,2
"1511",61677,2
"1512",61677,2
"1513",61677,2
"1514",61677,2
"1515",53113,2
"1516",70132,6
"1517",70132,6
"1518",70132,6
"1519",60592,2
"1520",60592,2
"1521",60592,2
"1522",60592,2
"1523",8718,4
"1524",8718,4
"1525",9497,5
"1526",9497,5
"1527",9497,5
"1528",14372,3
"1529",67032,4
"1530",67032,4
"1531",67032,4
"1532",74107,1
"1533",26382,3
"1534",98898,2
"1535",81112,4
"1536",81112,4
"1537",92814,4
"1538",52591,2
"1539",28065,5
"1540",55964,1
"1541",55964,1
"1542",18085,3
"1543",18085,3
"1544",88423,2
"1545",52142,3
"1546",52142,3
"1547",22956,2
"1548",90939,5
"1549",32402,2
"1550",75664,4
"1551",41808,2
"1552",41808,2
"1553",76212,4
"1554",76212,4
"1555",76212,4
"1556",34064,4
"1557",34064,4
"1558",34064,4
"1559",27112,2
"1560",27112,2
"1561",96511,4
"1562",96511,4
"1563",50623,4
"1564",50623,4
"1565",25866,5
"1566",10262,4
"1567",10262,4
"1568",10262,4
"1569",10262,4
"1570",10262,4
"1571",33454,5
"1572",42540,2
"1573",16098,5
"1574",16098,5
"1575",16098,5
"1576",16098,5
"1577",22911,5
"1578",69403,5
"1579",69403,5
"1580",23391,3
"1581",71408,3
"1582",71408,3
"1583",23087,3
"1584",58132,5
"1585",81673,6
"1586",96197,5
"1587",38576,2
"1588",32077,3
"1589",15957,3
"1590",15957,3
"1591",5957,2
"1592",87868,2
"1593",97201,3
"1594",83249,4
"1595",64879,3
"1596",64879,3
"1597",97272,4
"1598",97272,4
"1599",57055,2
"1600",77977,5
"1601",39412,3
"1602",50887,3
"1603",14857,8
"1604",71105,3
"1605",27493,3
"1606",27493,3
"1607",46095,3
"1608",46095,3
"1609",69598,4
"1610",69598,4
"1611",10342,5
"1612",24191,1
"1613",61755,3
"1614",61755,3
"1615",55450,4
"1616",15236,6
"1617",38410,6
"1618",28395,4
"1619",28395,4
"1620",28395,4
"1621",28395,4
"1622",48743,3
"1623",5105,4
"1624",5105,4
"1625",15153,4
"1626",15153,4
"1627",77002,6
"1628",77002,6
"1629",77002,6
"1630",77002,6
"1631",77002,6
"1632",69177,5
"1633",69177,5
"1634",69177,5
"1635",65117,5
"1636",25436,3
"1637",25436,3
"1638",25436,3
"1639",25436,3
"1640",27829,2
"1641",27829,2
"1642",27829,2
"1643",23711,5
"1644",23711,5
"1645",23711,5
"1646",82913,3
"1647",82913,3
"1648",14412,4
"1649",35239,3
"1650",35239,3
"1651",35239,3
"1652",35239,3
"1653",74464,2
"1654",51278,3
"1655",51278,3
"1656",51278,3
"1657",83636,2
"1658",83636,2
"1659",76473,2
"1660",33645,4
"1661",18152,2
"1662",18152,2
"1663",18152,2
"1664",20312,2
"1665",20312,2
