"","unid","grit_score"
"746",10580,0
"747",10580,2
"748",33185,8
"749",33185,2
"750",83131,2
"751",62496,1
"752",12676,6
"753",53188,4
"754",99766,8
"755",7806,8
"756",3367,1
"757",40602,9
"758",40602,9
"759",69274,2
"760",69274,6
"761",87452,6
"762",81633,0
"763",27729,5
"764",27729,0
"765",27729,6
"766",27729,6
"767",27729,8
"768",31429,4
"769",31429,5
"770",31429,1
"771",59202,3
"772",29760,9
"773",29760,3
"774",31389,9
"775",31389,3
"776",37876,2
"777",48280,6
"778",8668,1
"779",65820,0
"780",69662,0
"781",69662,1
"782",83257,9
"783",5686,7
"784",79730,8
"785",60713,1
"786",54195,3
"787",54195,3
"788",73159,5
"789",81395,8
"790",81395,7
"791",39814,1
"792",100830,7
"793",89903,4
"794",89903,8
"795",102428,5
"796",49992,3
"797",30264,7
"798",30264,5
"799",30264,1
"800",30264,1
"801",30264,1
"802",66021,8
"803",91615,5
"804",40654,8
"805",40654,5
"806",40654,1
"807",86184,2
"808",90930,5
"809",41868,8
"810",89253,5
"811",51122,7
"812",89575,0
"813",17838,7
"814",57992,6
"815",45864,9
"816",102086,7
"817",102086,4
"818",44558,6
"819",44558,2
"820",7600,9
"821",75674,1
"822",75674,5
"823",75674,7
"824",77202,7
"825",58717,2
"826",60089,7
"827",68177,9
"828",68177,8
"829",68177,7
"830",68177,4
"831",11340,6
"832",97409,7
"833",78396,0
"834",91270,2
"835",91270,1
"836",72928,8
"837",72928,2
"838",50328,8
"839",52544,7
"840",52544,6
"841",52544,4
"842",91513,5
"843",2327,0
"844",17732,2
"845",44987,6
"846",65333,2
"847",67729,8
"848",67729,3
"849",67729,4
"850",67729,9
"851",67729,3
"852",67729,1
"853",16371,9
"854",46485,0
"855",26437,3
"856",101696,1
"857",101696,4
"858",101696,1
"859",77052,0
"860",77052,3
"861",78540,8
"862",2131,8
"863",87402,3
"864",19515,0
"865",19515,4
"866",19515,7
"867",88037,9
"868",82838,5
"869",45245,3
"870",45245,7
"871",43529,2
"872",29636,2
"873",73041,6
"874",73041,3
"875",16812,0
"876",16812,6
"877",55029,9
"878",55029,7
"879",55029,6
"880",55029,7
"881",57907,8
"882",87120,4
"883",100854,2
"884",100854,6
"885",15772,9
"886",75456,8
"887",6522,3
"888",43422,7
"889",40265,2
"890",43655,1
"891",77731,8
"892",53212,6
"893",73669,6
"894",73669,6
"895",97589,3
"896",97589,8
"897",37171,8
"898",90662,3
"899",90662,9
"900",41666,5
"901",41666,2
"902",53962,6
"903",53962,3
"904",49959,9
"905",49959,5
"906",49959,9
"907",41509,3
"908",47988,2
"909",47988,1
"910",47988,3
"911",84259,3
"912",95856,7
"913",74440,7
"914",74440,5
"915",81907,6
"916",74054,0
"917",26775,1
"918",68059,0
"919",68059,0
"920",79963,2
"921",43146,7
"922",43146,8
"923",43146,1
"924",81279,9
"925",81021,7
"926",89080,7
"927",89080,1
"928",89080,9
"929",24265,4
"930",101060,2
"931",15149,7
"932",66381,5
"933",24354,4
"934",24354,2
"935",24354,5
"936",44761,5
"937",44761,8
"938",44761,9
"939",2199,0
"940",2199,2
"941",16007,8
"942",3314,5
"943",3314,8
"944",3314,6
"945",3314,5
"946",385,1
"947",4477,7
"948",71070,9
"949",85512,5
"950",32855,9
"951",32855,3
"952",3493,6
"953",96426,7
"954",69486,8
"955",100883,9
"956",46334,8
"957",46334,7
"958",56092,8
"959",56092,9
"960",34328,8
"961",23574,2
"962",23574,4
"963",80105,8
"964",72390,2
"965",49826,5
"966",26238,9
"967",43102,1
"968",66619,9
"969",66619,5
"970",76872,3
"971",36763,5
"972",36763,0
"973",79134,1
"974",79134,7
"975",79134,7
"976",84022,2
"977",84022,8
"978",13714,7
"979",13714,3
"980",37520,3
"981",35835,5
"982",35835,8
"983",35835,3
"984",35835,3
"985",35835,3
"986",46977,7
"987",46977,4
"988",46977,3
"989",46977,5
"990",58499,5
"991",58499,0
"992",95901,0
"993",9243,4
"994",9243,5
"995",52980,9
"996",98268,7
"997",56660,3
"998",56660,9
"999",56660,6
"1000",32337,1
"1001",32337,6
"1002",7834,6
"1003",7834,9
"1004",7834,0
"1005",7834,9
"1006",79202,0
"1007",79202,5
"1008",56566,5
"1009",75996,7
"1010",87115,3
"1011",87115,2
"1012",87115,5
"1013",87115,3
"1014",30684,7
"1015",61707,0
"1016",14455,7
"1017",94353,3
"1018",99640,0
"1019",99640,7
"1020",99640,2
"1021",99640,0
"1022",99640,7
"1023",75549,0
"1024",75549,4
"1025",74729,6
"1026",27508,3
"1027",17428,8
"1028",17428,4
"1029",17428,6
"1030",14523,9
"1031",14523,9
"1032",81403,2
"1033",9052,7
"1034",33413,9
"1035",96758,3
"1036",96758,9
"1037",96758,1
"1038",88437,3
"1039",17065,6
"1040",17065,8
"1041",17065,4
"1042",72329,2
"1043",47176,7
"1044",44161,4
"1045",84023,5
"1046",1664,9
"1047",95594,8
"1048",95594,3
"1049",2857,6
"1050",42451,8
"1051",42451,7
"1052",42442,4
"1053",75469,7
"1054",32806,2
"1055",83059,2
"1056",99926,0
"1057",99926,9
"1058",80828,4
"1059",6701,4
"1060",19609,4
"1061",19609,1
"1062",79329,9
"1063",42359,0
"1064",42359,7
"1065",42359,5
"1066",42359,6
"1067",99999,0
"1068",60127,8
"1069",28632,5
"1070",50654,5
"1071",22367,6
"1072",10170,2
"1073",59913,9
"1074",90712,0
"1075",46391,6
"1076",41704,6
"1077",50780,6
"1078",50780,7
"1079",50780,4
"1080",79779,6
"1081",68948,0
"1082",68948,8
"1083",68948,0
"1084",68948,4
"1085",68948,9
"1086",24662,0
"1087",24662,4
"1088",24662,9
"1089",24662,0
"1090",43475,5
"1091",43475,3
"1092",15522,8
"1093",99476,4
"1094",98372,2
"1095",56619,9
"1096",52429,5
"1097",29899,3
"1098",29899,9
"1099",29899,2
"1100",29899,2
"1101",29899,3
"1102",95739,2
"1103",95739,1
"1104",95739,6
"1105",5200,8
"1106",31645,1
"1107",80099,3
"1108",92818,9
"1109",82440,3
"1110",82440,7
"1111",67499,5
"1112",42413,0
"1113",42413,3
"1114",89143,0
"1115",10265,9
"1116",6558,1
"1117",6558,3
"1118",6558,7
"1119",43844,9
"1120",100770,5
"1121",100770,9
"1122",7174,6
"1123",61671,5
"1124",83283,5
"1125",83283,7
"1126",52553,1
"1127",42752,1
"1128",42752,7
"1129",42752,6
"1130",82503,9
"1131",15031,0
"1132",61100,7
"1133",42746,1
"1134",21492,6
"1135",69435,2
"1136",76018,2
"1137",18876,9
"1138",18876,5
"1139",3286,1
"1140",3286,1
"1141",3286,6
"1142",70985,7
"1143",35205,1
"1144",35205,4
"1145",35205,4
"1146",73716,5
"1147",73716,3
"1148",73716,4
"1149",66722,5
"1150",66722,6
"1151",66722,9
"1152",66722,9
"1153",61243,4
"1154",20972,2
"1155",91186,8
"1156",91186,2
"1157",98654,6
"1158",98654,4
"1159",98654,5
"1160",47666,8
"1161",34158,9
"1162",34158,6
"1163",51675,9
"1164",76054,7
"1165",76054,9
"1166",76054,7
"1167",76054,2
"1168",85482,4
"1169",82518,2
"1170",76425,3
"1171",13290,1
"1172",47154,0
"1173",53525,3
"1174",100438,6
"1175",50682,1
"1176",50682,9
"1177",50682,4
"1178",94725,2
"1179",94725,1
"1180",56763,1
"1181",58830,1
"1182",7194,6
"1183",30542,0
"1184",15735,7
"1185",15735,1
"1186",40869,0
"1187",40869,6
"1188",40869,6
"1189",40869,7
"1190",62191,4
"1191",81290,1
"1192",6023,4
"1193",6023,0
"1194",7396,2
"1195",56848,7
"1196",10583,3
"1197",10583,0
"1198",69027,2
"1199",69027,3
"1200",74655,1
"1201",19157,7
"1202",18114,1
"1203",18114,2
"1204",40146,9
"1205",33698,5
"1206",91113,3
"1207",50665,2
"1208",50665,0
"1209",36178,7
"1210",36178,8
"1211",44279,6
"1212",58316,3
"1213",83310,9
"1214",27434,0
"1215",98821,4
"1216",85280,2
"1217",2144,9
"1218",35307,8
"1219",35307,8
"1220",35307,2
"1221",35307,4
"1222",40527,4
"1223",5141,9
"1224",5141,7
"1225",5141,8
"1226",2970,9
"1227",98651,9
"1228",52445,5
"1229",52445,9
"1230",52445,2
"1231",52445,2
"1232",40425,4
"1233",40425,7
"1234",78133,2
"1235",78133,7
"1236",102287,8
"1237",1525,3
"1238",89272,0
"1239",61442,0
"1240",61442,9
"1241",12235,2
"1242",90151,1
"1243",47825,3
"1244",19105,9
"1245",2294,9
"1246",59285,3
"1247",84909,2
"1248",74520,7
"1249",74520,9
"1250",35059,4
"1251",35059,6
"1252",35059,1
"1253",35059,1
"1254",97138,5
"1255",28544,3
"1256",23520,4
"1257",23520,8
"1258",23520,6
"1259",64118,4
"1260",64118,3
"1261",64269,2
"1262",23662,8
"1263",23662,2
"1264",23662,3
"1265",23662,9
"1266",23662,4
"1267",101492,1
"1268",101492,1
"1269",28700,1
"1270",28700,1
"1271",37233,1
"1272",37233,9
"1273",37233,1
"1274",38087,6
"1275",36121,5
"1276",15296,3
"1277",62949,0
"1278",62949,8
"1279",24572,3
"1280",3164,7
"1281",6368,2
"1282",77415,7
"1283",77415,2
"1284",77415,3
"1285",53069,3
"1286",53069,2
"1287",53069,8
"1288",53069,1
"1289",41456,0
"1290",41456,7
"1291",41456,0
"1292",41456,5
"1293",18770,3
"1294",18770,8
"1295",18770,2
"1296",18770,2
"1297",18770,7
"1298",67309,2
"1299",31577,3
"1300",31577,5
"1301",31577,7
"1302",95783,6
"1303",95783,5
"1304",65674,0
"1305",65674,3
"1306",65674,3
"1307",20169,0
"1308",20169,8
"1309",20169,0
"1310",20169,8
"1311",8608,7
"1312",8608,4
"1313",11885,8
"1314",26046,3
"1315",26046,5
"1316",26046,1
"1317",26046,9
"1318",26046,0
"1319",99404,8
"1320",32978,8
"1321",32978,6
"1322",32978,2
"1323",32978,7
"1324",32978,7
"1325",1527,9
"1326",58535,0
"1327",6464,2
"1328",27245,0
"1329",29420,7
"1330",29420,0
"1331",29420,2
"1332",52347,2
"1333",35006,8
"1334",35006,7
"1335",47844,9
"1336",88978,6
"1337",88978,5
"1338",88978,1
"1339",88978,4
"1340",88978,5
"1341",86038,7
"1342",86038,9
"1343",37343,1
"1344",27389,1
"1345",76611,4
"1346",76611,8
"1347",81750,8
"1348",81750,6
"1349",53960,3
"1350",25060,2
"1351",16739,7
"1352",23551,5
"1353",23551,3
"1354",9140,6
"1355",9140,2
"1356",39999,6
"1357",39999,0
"1358",71540,2
"1359",71540,7
"1360",71540,7
"1361",66363,9
"1362",78110,8
"1363",101308,9
"1364",15146,1
"1365",15146,3
"1366",15146,8
"1367",59488,6
"1368",59488,0
"1369",18409,7
"1370",57943,1
"1371",57943,4
"1372",56932,4
"1373",17394,5
"1374",17394,3
"1375",17394,3
"1376",17394,2
"1377",81567,5
"1378",84239,0
"1379",28591,5
"1380",95976,6
"1381",95976,1
"1382",71049,3
"1383",71049,5
"1384",71049,3
"1385",102262,6
"1386",6779,8
"1387",15443,0
"1388",81368,4
"1389",81368,5
"1390",47481,7
"1391",94386,8
"1392",93158,8
"1393",47953,7
"1394",60114,3
"1395",60114,9
"1396",674,8
"1397",97599,3
"1398",32266,2
"1399",93847,0
"1400",76864,2
"1401",81733,3
"1402",81733,2
"1403",54584,4
"1404",82519,0
"1405",57705,1
"1406",16869,2
"1407",29790,5
"1408",29790,8
"1409",42614,4
"1410",62830,7
"1411",62830,5
"1412",100314,6
"1413",40605,1
"1414",40605,3
"1415",40605,7
"1416",26367,8
"1417",26367,4
"1418",26367,1
"1419",100299,6
"1420",65455,7
"1421",65455,2
"1422",13761,6
"1423",71858,0
"1424",71858,9
"1425",32410,5
"1426",32410,7
"1427",32410,9
"1428",32410,5
"1429",32410,2
"1430",32410,2
"1431",75854,0
"1432",38265,9
"1433",24837,0
"1434",14527,6
"1435",86062,3
"1436",79605,9
"1437",79605,9
"1438",79605,2
"1439",86585,9
"1440",40595,7
"1441",40595,6
"1442",45292,7
"1443",45292,6
"1444",35148,5
"1445",81720,3
"1446",81720,6
"1447",65338,0
"1448",25261,0
"1449",97088,9
"1450",97088,3
"1451",62074,8
"1452",72752,0
"1453",17468,8
"1454",17468,0
"1455",17468,0
"1456",17468,9
"1457",17468,8
"1458",17468,7
"1459",71195,1
"1460",71195,3
"1461",71195,9
"1462",80857,9
"1463",62426,6
"1464",27159,5
"1465",97886,3
"1466",97886,4
"1467",97886,4
"1468",97886,9
"1469",97886,9
"1470",97886,4
"1471",97886,1
"1472",75890,6
"1473",27687,8
"1474",27687,4
"1475",4473,0
"1476",96806,1
"1477",96806,1
"1478",7345,3
"1479",64709,8
"1480",64709,9
"1481",64709,1
"1482",64709,6
"1483",4373,6
"1484",5701,7
"1485",14758,8
"1486",14758,0
"1487",14758,5
"1488",14758,0
"1489",67241,4
"1490",67241,0
"1491",84177,3
"1492",84177,0
"1493",84177,8
"1494",93556,8
"1495",93556,0
"1496",69420,7
"1497",41657,6
"1498",77177,1
"1499",77177,6
"1500",3862,8
"1501",3862,7
"1502",57094,7
"1503",70339,4
"1504",70339,9
"1505",70339,8
"1506",18352,8
"1507",82004,4
"1508",11213,5
"1509",62621,7
"1510",62621,9
"1511",62621,4
"1512",64423,3
"1513",32819,7
"1514",32819,0
"1515",32819,7
"1516",99625,7
"1517",36401,9
"1518",36401,4
"1519",61991,7
"1520",61991,0
"1521",76798,5
"1522",72274,5
"1523",72274,9
"1524",92740,0
"1525",86718,8
"1526",38230,5
"1527",42036,4
"1528",42036,0
"1529",42036,2
"1530",42036,5
"1531",42036,0
"1532",76146,0
"1533",76146,8
"1534",58909,7
"1535",58909,1
"1536",26363,9
"1537",26363,7
"1538",97534,5
"1539",83571,4
"1540",44720,1
"1541",44720,2
"1542",44720,5
"1543",44720,9
"1544",10261,9
"1545",93851,4
"1546",41281,3
"1547",102473,2
"1548",94105,6
"1549",24603,6
"1550",75459,7
"1551",24155,8
"1552",88670,3
"1553",88670,4
"1554",69669,1
"1555",20364,7
"1556",76847,3
"1557",96762,8
"1558",96762,2
"1559",981,9
"1560",981,5
"1561",84941,5
"1562",9899,0
"1563",50974,7
"1564",1296,7
"1565",66236,9
"1566",28900,0
"1567",19547,4
"1568",19547,3
"1569",80806,0
"1570",80806,2
"1571",37494,1
"1572",9672,6
"1573",9672,1
"1574",87787,1
"1575",59982,7
"1576",35680,5
"1577",72184,2
"1578",31951,1
"1579",82523,7
"1580",82523,3
"1581",30691,7
"1582",21896,8
"1583",84420,2
"1584",7883,8
"1585",97047,3
"1586",8192,3
"1587",8192,6
"1588",8192,7
"1589",24906,3
"1590",83785,8
"1591",83785,5
"1592",51321,0
"1593",58178,3
"1594",58178,5
"1595",58178,6
"1596",58178,9
"1597",27752,8
"1598",66777,2
"1599",89613,5
"1600",85866,7
"1601",95445,2
"1602",95445,3
"1603",61177,8
"1604",61177,4
"1605",61177,4
"1606",61177,6
"1607",100952,2
"1608",100952,9
"1609",100952,8
"1610",76541,3
"1611",16564,4
"1612",98751,2
"1613",1757,0
"1614",61713,7
"1615",61713,8
"1616",60371,9
"1617",25337,4
"1618",50436,8
"1619",55334,5
"1620",39934,5
"1621",25126,8
"1622",3821,8
"1623",75155,8
"1624",95153,9
"1625",49126,2
"1626",49126,7
"1627",102169,3
"1628",6424,1
"1629",17011,1
"1630",17011,8
"1631",17011,3
"1632",17011,2
"1633",84892,7
"1634",84892,0
"1635",84892,7
"1636",82144,5
"1637",82144,6
"1638",82144,0
"1639",19246,6
"1640",7956,4
"1641",7956,0
"1642",7956,7
"1643",89333,4
"1644",69454,2
"1645",69454,7
"1646",101610,1
"1647",13360,2
"1648",65354,6
"1649",65354,0
"1650",94554,1
"1651",265,8
"1652",66918,5
"1653",66918,4
"1654",66918,1
"1655",14594,7
"1656",14594,2
"1657",14594,9
"1658",14594,2
"1659",14594,5
"1660",14594,5
"1661",96112,2
"1662",96112,2
"1663",14386,4
"1664",14386,6
"1665",14386,0
